Contact	BufferOccupancy
32000	11.5735
64000	11.2950
10500	11.1150
42500	11.4527
21000	11.0685
53000	11.4661
31500	11.5735
63500	11.2950
10000	11.1150
42000	11.4527
20500	11.0685
52500	11.4661
31000	11.5735
63000	11.2528
9500	11.1150
41500	11.4527
20000	11.0685
52000	11.3796
30500	11.5735
62500	11.3079
9000	11.1150
41000	11.2715
19500	11.0685
51500	11.3715
30000	11.1008
62000	11.3806
8500	10.9267
40500	11.4016
19000	10.4757
51000	11.4606
29500	11.0490
61500	11.3806
8000	9.7362
40000	11.4543
18500	10.7261
50500	11.4606
29000	11.1581
61000	11.3806
7500	10.9047
39500	11.4543
18000	10.8596
50000	11.4606
28500	11.1581
60500	11.3806
7000	11.1066
39000	11.4543
17500	10.8596
49500	11.4606
28000	11.1581
60000	11.3806
6500	11.1066
38500	11.4543
17000	10.8596
49000	11.4606
27500	11.1581
59500	11.3334
6000	11.1066
38000	11.4543
16500	10.8596
48500	11.3940
27000	11.1581
59000	11.2050
5500	11.1066
37500	11.3468
16000	10.8596
48000	11.4427
26500	10.8920
58500	11.3330
5000	11.1066
37000	11.4449
15500	10.5151
47500	11.5607
26000	10.9252
58000	11.3373
4500	6.8523
36500	11.5512
15000	10.8151
47000	11.5607
25500	11.0846
57500	11.3373
4000	1.5614
36000	11.5512
14500	11.0950
46500	11.5607
25000	11.0846
57000	11.3373
3500	0
35500	11.5512
14000	11.0950
46000	11.5607
24500	11.0846
56500	11.3373
3000	0
35000	11.5512
13500	11.0950
45500	11.5607
24000	11.0846
56000	11.3373
2500	0
34500	11.5512
13000	11.0950
45000	11.5024
23500	11.0846
55500	11.3104
2000	0
34000	11.4755
12500	11.0950
44500	11.2740
23000	10.9295
55000	11.4484
1500	0
33500	11.3241
65500	11.2950
12000	10.5835
44000	11.4415
22500	10.7185
54500	11.4661
1000	0
33000	11.5634
65000	11.2950
11500	10.3908
43500	11.4527
22000	11.0343
54000	11.4661
500	0
32500	11.5735
64500	11.2950
11000	11.1150
43000	11.4527
21500	11.0685
53500	11.4661

