Contact	DroppedMessage
32000	22695
64000	47168
10500	5431
42500	30592
21000	13654
53000	38960
31500	22695
63500	47168
10000	5431
42000	30592
20500	13654
52500	38960
31000	22695
63000	44562
9500	5431
41500	30592
20000	13654
52000	36292
30500	22695
62500	44562
9000	5431
41000	27999
19500	13654
51500	36292
30000	19517
62000	44562
8500	2638
40500	27999
19000	10735
51000	36292
29500	19517
61500	44562
8000	2638
40000	27999
18500	10735
50500	36292
29000	19517
61000	44562
7500	2638
39500	27999
18000	10735
50000	36292
28500	19517
60500	44562
7000	2638
39000	27999
17500	10735
49500	36292
28000	19517
60000	44562
6500	2638
38500	27999
17000	10735
49000	36292
27500	19517
59500	41507
6000	2638
38000	27999
16500	10735
48500	33771
27000	19517
59000	41507
5500	2638
37500	25544
16000	10735
48000	33771
26500	16497
58500	41507
5000	2638
37000	25544
15500	8232
47500	33771
26000	16497
58000	41507
4500	0
36500	25544
15000	8232
47000	33771
25500	16497
57500	41507
4000	0
36000	25544
14500	8232
46500	33771
25000	16497
57000	41507
3500	0
35500	25544
14000	8232
46000	33771
24500	16497
56500	41507
3000	0
35000	25544
13500	8232
45500	33771
24000	16497
56000	41507
2500	0
34500	25544
13000	8232
45000	30592
23500	16497
55500	38960
2000	0
34000	22695
12500	8232
44500	30592
23000	13654
55000	38960
1500	0
33500	22695
65500	47168
12000	5431
44000	30592
22500	13654
54500	38960
1000	0
33000	22695
65000	47168
11500	5431
43500	30592
22000	13654
54000	38960
500	0
32500	22695
64500	47168
11000	5431
43000	30592
21500	13654
53500	38960

