Contact	Latencies
32000	665.1675
64000	674.6300
10500	659.7459
42500	691.2922
21000	658.1486
53000	671.1740
31500	665.1675
63500	674.6300
10000	659.7459
42000	691.2922
20500	658.1486
52500	671.1740
31000	665.1675
63000	668.9297
9500	659.7459
41500	691.2922
20000	658.1486
52000	671.1740
30500	665.1675
62500	670.0823
9000	659.7459
41000	669.7182
19500	658.1486
51500	676.2302
30000	634.8193
62000	674.3640
8500	643.3203
40500	679.2462
19000	623.3902
51000	685.8909
29500	643.5505
61500	674.3640
8000	602.9500
40000	681.0847
18500	627.4148
50500	685.8909
29000	648.8895
61000	674.3640
7500	744.4594
39500	681.0847
18000	660.7415
50000	685.8909
28500	648.8895
60500	674.3640
7000	744.4594
39000	681.0847
17500	660.7415
49500	685.8909
28000	648.8895
60000	674.3640
6500	744.4594
38500	681.0847
17000	660.7415
49000	685.8909
27500	648.8895
59500	674.3640
6000	744.4594
38000	681.0847
16500	660.7415
48500	685.8909
27000	648.8895
59000	669.0454
5500	744.4594
37500	676.7699
16000	660.7415
48000	678.3692
26500	635.2700
58500	669.0454
5000	744.4594
37000	677.4039
15500	630.5864
47500	691.8376
26000	645.1730
58000	669.0454
4500	606.8000
36500	685.1604
15000	639.2730
47000	691.8376
25500	647.8590
57500	669.0454
4000	NaN
36000	685.1604
14500	639.2730
46500	691.8376
25000	647.8590
57000	669.0454
3500	NaN
35500	685.1604
14000	639.2730
46000	691.8376
24500	647.8590
56500	669.0454
3000	NaN
35000	685.1604
13500	639.2730
45500	691.8376
24000	647.8590
56000	669.0454
2500	NaN
34500	685.1604
13000	639.2730
45000	691.8376
23500	647.8590
55500	665.0391
2000	NaN
34000	677.1011
12500	639.2730
44500	681.0152
23000	647.8590
55000	671.1740
1500	NaN
33500	661.9041
65500	674.6300
12000	639.2730
44000	691.2922
22500	633.2656
54500	671.1740
1000	NaN
33000	665.1675
65000	674.6300
11500	621.7191
43500	691.2922
22000	658.1486
54000	671.1740
500	NaN
32500	665.1675
64500	674.6300
11000	659.7459
43000	691.2922
21500	658.1486
53500	671.1740

