Contact	NrofDelivered
32000	240
64000	496
10500	61
42500	333
21000	142
53000	412
31500	240
63500	496
10000	61
42000	333
20500	142
52500	412
31000	240
63000	489
9500	61
41500	333
20000	142
52000	412
30500	240
62500	470
9000	61
41000	318
19500	142
51500	391
30000	223
62000	464
8500	59
40500	301
19000	132
51000	384
29500	212
61500	464
8000	46
40000	300
18500	128
50500	384
29000	210
61000	464
7500	32
39500	300
18000	118
50000	384
28500	210
60500	464
7000	32
39000	300
17500	118
49500	384
28000	210
60000	464
6500	32
38500	300
17000	118
49000	384
27500	210
59500	464
6000	32
38000	300
16500	118
48500	384
27000	210
59000	436
5500	32
37500	296
16000	118
48000	367
26500	203
58500	436
5000	32
37000	279
15500	110
47500	356
26000	174
58000	436
4500	19
36500	273
15000	89
47000	356
25500	173
57500	436
4000	0
36000	273
14500	89
46500	356
25000	173
57000	436
3500	0
35500	273
14000	89
46000	356
24500	173
56500	436
3000	0
35000	273
13500	89
45500	356
24000	173
56000	436
2500	0
34500	273
13000	89
45000	356
23500	173
55500	427
2000	0
34000	268
12500	89
44500	343
23000	173
55000	412
1500	0
33500	243
65500	496
12000	89
44000	333
22500	154
54500	412
1000	0
33000	240
65000	496
11500	68
43500	333
22000	142
54000	412
500	0
32500	240
64500	496
11000	61
43000	333
21500	142
53500	412

