Contact	BufferOccupancy
32000	4.5805
64000	4.4016
10500	4.2640
42500	4.5162
21000	4.3751
53000	4.5262
31500	4.5805
63500	4.4016
10000	4.2640
42000	4.5162
20500	4.3751
52500	4.5262
31000	4.5805
63000	4.3918
9500	4.2640
41500	4.5162
20000	4.3751
52000	4.4777
30500	4.5805
62500	4.4091
9000	4.2640
41000	4.4785
19500	4.3751
51500	4.4333
30000	4.4744
62000	4.4444
8500	4.1687
40500	4.5221
19000	4.2058
51000	4.4759
29500	4.4007
61500	4.4444
8000	3.7654
40000	4.5579
18500	4.2638
50500	4.4759
29000	4.4618
61000	4.4444
7500	4.1966
39500	4.5579
18000	4.3638
50000	4.4759
28500	4.4618
60500	4.4444
7000	4.3687
39000	4.5579
17500	4.3638
49500	4.4759
28000	4.4618
60000	4.4444
6500	4.3687
38500	4.5579
17000	4.3638
49000	4.4759
27500	4.4618
59500	4.4266
6000	4.3687
38000	4.5579
16500	4.3638
48500	4.4598
27000	4.4618
59000	4.4020
5500	4.3687
37500	4.5276
16000	4.3638
48000	4.4401
26500	4.3569
58500	4.4541
5000	4.3687
37000	4.5226
15500	4.2980
47500	4.4979
26000	4.3770
58000	4.4582
4500	3.1127
36500	4.5830
15000	4.2978
47000	4.4979
25500	4.4678
57500	4.4582
4000	1.1728
36000	4.5830
14500	4.4634
46500	4.4979
25000	4.4678
57000	4.4582
3500	0
35500	4.5830
14000	4.4634
46000	4.4979
24500	4.4678
56500	4.4582
3000	0
35000	4.5830
13500	4.4634
45500	4.4979
24000	4.4678
56000	4.4582
2500	0
34500	4.5830
13000	4.4634
45000	4.4924
23500	4.4678
55500	4.4575
2000	0
34000	4.5624
12500	4.4634
44500	4.4450
23000	4.3837
55000	4.5119
1500	0
33500	4.4780
65500	4.4016
12000	4.3609
44000	4.5057
22500	4.2553
54500	4.5262
1000	0
33000	4.5709
65000	4.4016
11500	3.9920
43500	4.5162
22000	4.3472
54000	4.5262
500	0
32500	4.5805
64500	4.4016
11000	4.2640
43000	4.5162
21500	4.3751
53500	4.5262

