Contact	DroppedMessage
32000	9253
64000	18813
10500	2201
42500	12410
21000	5622
53000	15695
31500	9253
63500	18813
10000	2201
42000	12410
20500	5622
52500	15695
31000	9253
63000	17842
9500	2201
41500	12410
20000	5622
52000	14541
30500	9253
62500	17842
9000	2201
41000	11402
19500	5622
51500	14541
30000	8062
62000	17842
8500	1063
40500	11402
19000	4433
51000	14541
29500	8062
61500	17842
8000	1063
40000	11402
18500	4433
50500	14541
29000	8062
61000	17842
7500	1063
39500	11402
18000	4433
50000	14541
28500	8062
60500	17842
7000	1063
39000	11402
17500	4433
49500	14541
28000	8062
60000	17842
6500	1063
38500	11402
17000	4433
49000	14541
27500	8062
59500	16671
6000	1063
38000	11402
16500	4433
48500	13495
27000	8062
59000	16671
5500	1063
37500	10343
16000	4433
48000	13495
26500	6893
58500	16671
5000	1063
37000	10343
15500	3391
47500	13495
26000	6893
58000	16671
4500	0
36500	10343
15000	3391
47000	13495
25500	6893
57500	16671
4000	0
36000	10343
14500	3391
46500	13495
25000	6893
57000	16671
3500	0
35500	10343
14000	3391
46000	13495
24500	6893
56500	16671
3000	0
35000	10343
13500	3391
45500	13495
24000	6893
56000	16671
2500	0
34500	10343
13000	3391
45000	12410
23500	6893
55500	15695
2000	0
34000	9253
12500	3391
44500	12410
23000	5622
55000	15695
1500	0
33500	9253
65500	18813
12000	2201
44000	12410
22500	5622
54500	15695
1000	0
33000	9253
65000	18813
11500	2201
43500	12410
22000	5622
54000	15695
500	0
32500	9253
64500	18813
11000	2201
43000	12410
21500	5622
53500	15695

