Contact	Latencies
32000	663.6135
64000	665.2404
10500	721.9583
42500	687.0573
21000	672.2359
53000	664.7060
31500	663.6135
63500	665.2404
10000	721.9583
42000	687.0573
20500	672.2359
52500	664.7060
31000	663.6135
63000	661.9011
9500	721.9583
41500	687.0573
20000	672.2359
52000	663.7514
30500	663.6135
62500	663.6254
9000	721.9583
41000	667.9831
19500	672.2359
51500	666.7213
30000	649.9994
62000	667.6116
8500	704.0674
40500	679.5526
19000	650.6613
51000	675.6292
29500	653.3114
61500	667.6116
8000	661.4387
40000	681.9837
18500	656.4953
50500	675.6292
29000	660.2671
61000	667.6116
7500	813.6348
39500	681.9837
18000	691.2444
50000	675.6292
28500	660.2671
60500	667.6116
7000	813.6348
39000	681.9837
17500	691.2444
49500	675.6292
28000	660.2671
60000	667.6116
6500	813.6348
38500	681.9837
17000	691.2444
49000	675.6292
27500	660.2671
59500	667.6116
6000	813.6348
38000	681.9837
16500	691.2444
48500	675.6292
27000	660.2671
59000	663.4021
5500	813.6348
37500	677.2696
16000	691.2444
48000	664.1330
26500	646.9532
58500	663.4021
5000	813.6348
37000	676.1553
15500	670.4819
47500	680.1970
26000	653.2418
58000	663.4021
4500	585.8800
36500	686.2901
15000	687.5324
47000	680.1970
25500	656.6186
57500	663.4021
4000	NaN
36000	686.2901
14500	687.5324
46500	680.1970
25000	656.6186
57000	663.4021
3500	NaN
35500	686.2901
14000	687.5324
46000	680.1970
24500	656.6186
56500	663.4021
3000	NaN
35000	686.2901
13500	687.5324
45500	680.1970
24000	656.6186
56000	663.4021
2500	NaN
34500	686.2901
13000	687.5324
45000	680.1970
23500	656.6186
55500	658.2498
2000	NaN
34000	677.6152
12500	687.5324
44500	673.4076
23000	653.7165
55000	664.7060
1500	NaN
33500	658.3599
65500	665.2404
12000	675.4542
44000	687.0573
22500	642.9386
54500	664.7060
1000	NaN
33000	663.6135
65000	665.2404
11500	660.4429
43500	687.0573
22000	672.2359
54000	664.7060
500	NaN
32500	663.6135
64500	665.2404
11000	721.9583
43000	687.0573
21500	672.2359
53500	664.7060

