# messageDelay  cumulativeProbability
79.5000 0.0001
82.9000 0.0002
91.3000 0.0004
108.4000 0.0005
113.1000 0.0006
116.9000 0.0007
127.6000 0.0009
132.9000 0.0010
133.3000 0.0011
133.7000 0.0012
136.9000 0.0013
141.4000 0.0015
142.7000 0.0016
143.5000 0.0017
145.5000 0.0018
146.4000 0.0019
149.1000 0.0021
152.1000 0.0022
165.4000 0.0023
165.8000 0.0024
166.7000 0.0026
182.5000 0.0027
184.6000 0.0028
185.2000 0.0029
185.6000 0.0030
188.1000 0.0032
188.2000 0.0033
189.6000 0.0034
190.9000 0.0035
191.2000 0.0037
192.4000 0.0038
195.0000 0.0039
198.8000 0.0040
201.0000 0.0041
203.1000 0.0043
222.8000 0.0044
228.7000 0.0045
237.4000 0.0046
240.2000 0.0048
240.4000 0.0049
240.6000 0.0050
243.3000 0.0051
245.5000 0.0052
246.3000 0.0054
248.9000 0.0055
249.5000 0.0056
255.1000 0.0057
255.9000 0.0058
260.1000 0.0060
263.2000 0.0061
263.7000 0.0062
266.2000 0.0063
266.7000 0.0065
267.1000 0.0066
268.3000 0.0067
269.1000 0.0068
280.5000 0.0069
285.6000 0.0071
285.8000 0.0072
290.6000 0.0073
291.9000 0.0074
294.9000 0.0076
298.4000 0.0077
301.3000 0.0078
301.5000 0.0079
303.7000 0.0080
306.9000 0.0082
309.5000 0.0083
312.0000 0.0084
313.5000 0.0085
313.6000 0.0087
316.3000 0.0088
319.8000 0.0089
320.3000 0.0090
322.2000 0.0091
326.9000 0.0093
327.4000 0.0094
328.7000 0.0095
330.4000 0.0096
331.6000 0.0097
338.7000 0.0099
339.2000 0.0100
339.3000 0.0101
339.5000 0.0102
339.6000 0.0104
340.3000 0.0105
342.4000 0.0106
343.6000 0.0107
344.8000 0.0108
345.5000 0.0110
346.5000 0.0111
347.1000 0.0112
347.8000 0.0113
356.3000 0.0115
356.8000 0.0116
363.9000 0.0117
364.1000 0.0118
365.3000 0.0119
368.4000 0.0121
369.0000 0.0122
371.5000 0.0123
372.7000 0.0124
378.3000 0.0125
378.3000 0.0127
380.1000 0.0128
383.1000 0.0129
384.3000 0.0130
394.2000 0.0132
395.0000 0.0133
408.7000 0.0134
414.1000 0.0135
415.6000 0.0136
419.1000 0.0138
420.7000 0.0139
422.6000 0.0140
424.5000 0.0141
424.7000 0.0143
425.9000 0.0144
431.0000 0.0145
433.3000 0.0146
435.0000 0.0147
441.1000 0.0149
442.2000 0.0150
442.7000 0.0151
443.2000 0.0152
445.1000 0.0154
449.4000 0.0155
450.3000 0.0156
452.4000 0.0157
454.6000 0.0158
457.0000 0.0160
461.5000 0.0161
483.4000 0.0162
487.0000 0.0163
487.4000 0.0164
487.6000 0.0166
489.1000 0.0167
490.0000 0.0168
490.1000 0.0169
490.4000 0.0171
491.4000 0.0172
492.5000 0.0173
492.9000 0.0174
496.8000 0.0175
498.7000 0.0177
499.4000 0.0178
502.3000 0.0179
506.3000 0.0180
506.8000 0.0182
509.9000 0.0183
510.4000 0.0184
516.0000 0.0185
520.3000 0.0186
521.0000 0.0188
522.2000 0.0189
530.9000 0.0190
537.1000 0.0191
537.1000 0.0192
541.1000 0.0194
541.5000 0.0195
549.5000 0.0196
549.9000 0.0197
555.1000 0.0199
562.6000 0.0200
562.8000 0.0201
565.2000 0.0202
565.6000 0.0203
567.6000 0.0205
567.7000 0.0206
571.1000 0.0207
576.5000 0.0208
580.1000 0.0210
585.3000 0.0211
586.4000 0.0212
589.8000 0.0213
591.8000 0.0214
596.8000 0.0216
608.3000 0.0217
608.5000 0.0218
610.4000 0.0219
613.2000 0.0221
613.6000 0.0222
614.4000 0.0223
615.0000 0.0224
617.8000 0.0225
620.6000 0.0227
625.7000 0.0228
627.9000 0.0229
628.1000 0.0230
628.5000 0.0231
637.6000 0.0233
638.0000 0.0234
638.2000 0.0235
638.5000 0.0236
639.8000 0.0238
643.2000 0.0239
643.9000 0.0240
645.0000 0.0241
645.6000 0.0242
646.1000 0.0244
647.5000 0.0245
650.0000 0.0246
650.5000 0.0247
651.1000 0.0249
651.7000 0.0250
652.6000 0.0251
654.9000 0.0252
657.0000 0.0253
659.1000 0.0255
659.1000 0.0256
660.4000 0.0257
663.6000 0.0258
664.6000 0.0260
668.5000 0.0261
674.7000 0.0262
681.7000 0.0263
683.6000 0.0264
683.7000 0.0266
684.2000 0.0267
689.9000 0.0268
692.0000 0.0269
696.1000 0.0270
700.8000 0.0272
711.7000 0.0273
712.7000 0.0274
713.3000 0.0275
715.7000 0.0277
717.2000 0.0278
719.5000 0.0279
719.6000 0.0280
719.6000 0.0281
721.2000 0.0283
722.7000 0.0284
725.2000 0.0285
740.8000 0.0286
741.5000 0.0288
742.1000 0.0289
742.9000 0.0290
743.8000 0.0291
744.4000 0.0292
745.8000 0.0294
751.2000 0.0295
752.7000 0.0296
755.1000 0.0297
755.8000 0.0298
755.8000 0.0300
760.1000 0.0301
762.4000 0.0302
765.9000 0.0303
766.0000 0.0305
785.4000 0.0306
786.4000 0.0307
787.0000 0.0308
788.5000 0.0309
788.8000 0.0311
789.0000 0.0312
789.7000 0.0313
790.5000 0.0314
791.2000 0.0316
791.6000 0.0317
792.3000 0.0318
796.6000 0.0319
798.1000 0.0320
798.7000 0.0322
799.2000 0.0323
800.3000 0.0324
802.2000 0.0325
807.3000 0.0327
814.3000 0.0328
814.6000 0.0329
815.1000 0.0330
815.4000 0.0331
817.6000 0.0333
819.0000 0.0334
819.4000 0.0335
821.3000 0.0336
829.6000 0.0337
835.1000 0.0339
836.7000 0.0340
839.8000 0.0341
843.3000 0.0342
847.2000 0.0344
848.8000 0.0345
850.3000 0.0346
854.8000 0.0347
855.4000 0.0348
861.3000 0.0350
863.4000 0.0351
864.0000 0.0352
865.4000 0.0353
865.7000 0.0355
866.2000 0.0356
867.0000 0.0357
867.2000 0.0358
872.3000 0.0359
875.0000 0.0361
875.8000 0.0362
878.6000 0.0363
