Contact	NrofDelivered
32000	178
64000	376
10500	48
42500	253
21000	117
53000	316
31500	178
63500	376
10000	48
42000	253
20500	117
52500	316
31000	178
63000	373
9500	48
41500	253
20000	117
52000	315
30500	178
62500	358
9000	48
41000	243
19500	117
51500	300
30000	170
62000	354
8500	46
40500	228
19000	111
51000	295
29500	166
61500	354
8000	31
40000	227
18500	107
50500	295
29000	164
61000	354
7500	23
39500	227
18000	99
50000	295
28500	164
60500	354
7000	23
39000	227
17500	99
49500	295
28000	164
60000	354
6500	23
38500	227
17000	99
49000	295
27500	164
59500	354
6000	23
38000	227
16500	99
48500	295
27000	164
59000	334
5500	23
37500	224
16000	99
48000	279
26500	158
58500	334
5000	23
37000	208
15500	94
47500	269
26000	141
58000	334
4500	10
36500	202
15000	74
47000	269
25500	140
57500	334
4000	0
36000	202
14500	74
46500	269
25000	140
57000	334
3500	0
35500	202
14000	74
46000	269
24500	140
56500	334
3000	0
35000	202
13500	74
45500	269
24000	140
56000	334
2500	0
34500	202
13000	74
45000	269
23500	140
55500	327
2000	0
34000	198
12500	74
44500	263
23000	139
55000	316
1500	0
33500	182
65500	376
12000	72
44000	253
22500	127
54500	316
1000	0
33000	178
65000	376
11500	56
43500	253
22000	117
54000	316
500	0
32500	178
64500	376
11000	48
43000	253
21500	117
53500	316

