Contact	Latencies
32000	1444845.6999
10500	403418.7000
42500	1905160.1998
21000	866153.0000
31500	1403594.6999
10000	365361.3000
42000	1879355.0998
20500	840757.2000
31000	1365454.6999
9500	346394.7000
41500	1853937.1998
20000	818136.6000
30500	1344238.8999
9000	336192.3000
41000	1832795.7998
19500	803030.2000
30000	1317534.4999
8500	310177.2000
40500	1800746.6998
19000	783879.2000
29500	1292489.7000
8000	269405.5000
40000	1785535.3998
18500	770359.5000
29000	1275744.4000
7500	252490.0000
39500	1750522.6999
18000	736030.8000
28500	1258015.8000
7000	245664.0000
39000	1722658.9999
17500	718462.1000
28000	1207941.0000
6500	240212.5000
38500	1719115.0999
17000	706705.8000
49000	2201712.2997
27500	1185864.4000
6000	208879.7000
38000	1687327.6999
16500	700216.4000
48500	2164903.3997
27000	1169796.3000
5500	164199.6000
37500	1671679.3999
16000	690256.4000
48000	2150149.7997
26500	1139384.8000
5000	160011.7000
37000	1646280.2999
15500	672677.4000
47500	2141536.8997
26000	1093831.3000
4500	129139.5000
36500	1620051.2999
15000	631295.9000
47000	2135870.7998
25500	1070970.3000
4000	121163.4000
36000	1620051.2999
14500	608894.6000
46500	2103473.7998
25000	1042415.8000
3500	102836.9000
35500	1607299.8999
14000	579156.1000
46000	2043842.7998
24500	1022498.3000
3000	68694.0000
35000	1555150.2999
13500	550654.2000
45500	2014181.6998
24000	993154.7000
2500	68694.0000
34500	1535226.1999
13000	535221.0000
45000	1996490.0998
23500	961731.4000
2000	24331.1000
34000	1507654.7999
12500	511590.1000
44500	1977993.2998
23000	937910.7000
1500	6168.4000
33500	1482348.8999
12000	492117.6000
44000	1972344.9998
22500	908215.5000
1000	345.5000
33000	1471478.7999
11500	477347.4000
43500	1950182.4998
22000	900017.9000
500	NaN
32500	1457999.4999
11000	419593.7000
43000	1924203.4998
21500	900017.9000

