Contact	BufferOccupancy
64000	17.2095
128000	17.4574
42500	17.1152
106500	17.3834
21000	17.1198
85000	17.3579
63500	17.2008
127500	17.4506
42000	17.1578
106000	17.4137
20500	17.2716
84500	17.3763
63000	17.2569
127000	17.4370
41500	17.1501
105500	17.3856
20000	17.1789
84000	17.3352
62500	17.2177
126500	17.4541
41000	17.1329
105000	17.4059
19500	17.1494
83500	17.3515
62000	17.2372
126000	17.4186
40500	17.2010
104500	17.4057
19000	17.1505
83000	17.3345
61500	17.1932
125500	17.4200
40000	17.0815
104000	17.4056
18500	16.9845
82500	17.3192
61000	17.1569
125000	17.4332
39500	17.0954
103500	17.4362
18000	17.1155
82000	17.3360
60500	17.1962
124500	17.4163
39000	17.0569
103000	17.3941
17500	16.9691
81500	17.2874
60000	17.1536
124000	17.4351
38500	17.0553
102500	17.3990
17000	16.9347
81000	17.3073
59500	17.1902
123500	17.4278
38000	17.1267
102000	17.4062
16500	17.1374
80500	17.3125
59000	17.1924
123000	17.4328
37500	17.0516
101500	17.3956
16000	16.9546
80000	17.3066
58500	17.2286
122500	17.4530
37000	17.1131
101000	17.4198
15500	17.0733
79500	17.3472
58000	17.2834
122000	17.4335
36500	17.0772
100500	17.3939
15000	16.9187
79000	17.3036
57500	17.2643
121500	17.4528
36000	17.0457
100000	17.4026
14500	16.7496
78500	17.3154
57000	17.3032
121000	17.4300
35500	17.1271
99500	17.3988
14000	16.9217
78000	17.3022
56500	17.2758
120500	17.4274
35000	17.0127
99000	17.3766
13500	16.6461
77500	17.2686
56000	17.2682
120000	17.4397
34500	17.0515
98500	17.4031
13000	16.6395
77000	17.3012
55500	17.3120
119500	17.4142
34000	16.9637
98000	17.3674
12500	16.5823
76500	17.2589
55000	17.2332
119000	17.4248
33500	16.9150
97500	17.3712
12000	16.1825
76000	17.2615
54500	17.2490
118500	17.4201
33000	16.9887
97000	17.3631
11500	16.2279
75500	17.2630
54000	17.2389
118000	17.4221
32500	16.8637
96500	17.3446
11000	16.1426
75000	17.2458
53500	17.2221
117500	17.4489
32000	16.9132
96000	17.3657
10500	16.0289
74500	17.2785
53000	17.2768
117000	17.4159
31500	16.8954
95500	17.3447
10000	16.3574
74000	17.2421
52500	17.2152
116500	17.4292
31000	16.8921
95000	17.3458
9500	16.1279
73500	17.2530
52000	17.2441
116000	17.4219
30500	16.9981
94500	17.3659
9000	16.3483
73000	17.2564
51500	17.2078
115500	17.4214
30000	16.9259
94000	17.3290
8500	15.9250
72500	17.2285
136500	17.4849
51000	17.1702
115000	17.4434
29500	16.9957
93500	17.3485
8000	15.6018
72000	17.2637
136000	17.4581
50500	17.2036
114500	17.4087
29000	17.0146
93000	17.3091
7500	15.7600
71500	17.2072
135500	17.4654
50000	17.0986
114000	17.4088
28500	16.9881
92500	17.3029
7000	14.9525
71000	17.1850
135000	17.4590
49500	17.1088
113500	17.3891
28000	17.1026
92000	17.3075
6500	15.1039
70500	17.2003
134500	17.4416
49000	17.0992
113000	17.3655
27500	16.9956
91500	17.2738
6000	14.5878
70000	17.1723
134000	17.4550
48500	17.1111
112500	17.3933
27000	17.0195
91000	17.2916
5500	14.1871
69500	17.2146
133500	17.4256
48000	17.1726
112000	17.3787
26500	17.0815
90500	17.2803
5000	14.9317
69000	17.1918
133000	17.4388
47500	17.1235
111500	17.3923
26000	17.0446
90000	17.2845
4500	13.6605
68500	17.2128
132500	17.4400
47000	17.1710
111000	17.4044
25500	17.1579
89500	17.3064
4000	13.5879
68000	17.2104
132000	17.4387
46500	17.1798
110500	17.3856
25000	17.0392
89000	17.2913
3500	11.8314
67500	17.1889
131500	17.4542
46000	17.1342
110000	17.4053
24500	17.0446
88500	17.3189
3000	6.7025
67000	17.2277
131000	17.4350
45500	17.1849
109500	17.3824
24000	17.0852
88000	17.3126
2500	3.0260
66500	17.1959
130500	17.4493
45000	17.0949
109000	17.3740
23500	16.9133
87500	17.3205
2000	1.5431
66000	17.2028
130000	17.4485
44500	17.1346
108500	17.4002
23000	17.0265
87000	17.3579
1500	0.4323
65500	17.2373
129500	17.4431
44000	17.1120
108000	17.3706
22500	16.9389
86500	17.3384
1000	0
65000	17.2002
129000	17.4618
43500	17.1206
107500	17.3849
22000	16.9907
86000	17.3708
500	0
64500	17.2343
128500	17.4439
43000	17.1906
107000	17.3878
21500	17.1426
85500	17.3652

