Message ID 	 Delay
M22	64.10
M14	640.70
M28	641.00
M17	641.50
M16	642.10
M19	642.60
M29	643.00
M18	643.30
M20	644.00
M21	644.50
M34	644.80
M60	259.50
M59	260.00
M11	905.50
M13	906.10
M24	906.60
M61	385.20
M23	985.60
M62	497.40
M66	557.40
M67	557.60
M55	558.10
M54	558.30
M56	558.50
M58	559.10
M99	221.10
M51	849.20
M44	895.00
M68	895.60
M47	896.00
M69	896.60
M73	896.80
M72	897.40
M94	297.60
M53	897.90
M97	298.20
M52	898.80
M98	299.00
M57	899.40
M65	925.30
M48	925.50
M96	402.40
M100	567.60
M110	722.40
M136	122.60
M111	723.00
M91	723.60
M93	724.10
M92	724.40
M95	724.70
M105	724.90
M104	725.50
M137	150.60
M132	378.80
M135	379.50
M134	380.10
M112	980.70
M85	981.20
M143	381.60
M142	381.90
M107	982.50
M106	982.70
M89	1022.30
M138	672.70
M175	98.40
M130	794.20
M174	194.70
M133	795.30
M129	795.60
M128	796.10
M149	796.40
M148	796.80
M131	1063.30
M141	1063.70
M125	1064.40
M124	1064.60
M123	1064.90
M127	1065.50
M126	1065.90
M173	560.00
M181	560.50
M180	560.70
M169	561.20
M172	561.90
M171	562.30
M170	562.60
M212	142.70
M187	743.10
M167	743.30
M176	884.40
M213	284.70
M165	885.40
M210	379.90
M219	380.20
M183	980.50
M182	980.90
M186	981.50
M168	981.90
M189	982.10
M166	982.60
M208	382.90
M211	400.40
M218	401.00
M164	1075.00
M163	1075.30
M203	475.70
M214	600.60
M251	318.00
M217	918.50
M206	919.10
M205	919.30
M207	919.90
M196	1063.10
M199	1063.50
M224	1063.80
M227	1064.20
M226	1064.80
M225	1065.30
M250	465.90
M257	466.20
M256	466.40
M246	467.10
M200	1067.40
M249	467.80
M248	468.20
M209	1068.60
M244	544.50
M221	1145.00
M247	545.30
M245	580.20
M288	325.30
M263	987.50
M286	387.80
M252	1071.80
M239	1072.00
M241	1072.40
M240	1072.80
M290	473.30
M294	567.80
M285	568.50
M287	569.20
M295	621.30
M279	621.70
M284	622.10
M289	622.70
M282	695.10
M281	695.80
M280	696.20
M275	916.20
M301	916.80
M300	917.40
M296	917.90
M333	318.40
M322	319.00
M326	319.50
M325	320.20
M283	930.90
M297	1136.10
M277	1136.80
M276	1137.30
M321	537.80
M324	538.50
M293	1138.70
M317	623.30
M328	654.10
M338	778.20
M319	778.70
M339	779.20
M320	779.80
M364	180.00
M365	241.00
M355	465.80
M331	1066.20
M316	1066.80
M315	1067.30
M314	1067.60
M313	1068.30
M340	1069.00
M327	1069.50
M371	718.00
M359	718.40
M358	718.80
M360	719.30
M366	719.80
M403	120.00
M356	975.50
M357	975.80
M377	976.10
M376	976.70
M363	977.40
M362	977.70
M361	978.00
M400	378.50
M402	378.80
M401	379.50
M408	380.00
M370	980.50
M398	553.50
M409	553.90
M396	686.40
M395	687.10
M399	687.30
M393	783.00
M397	783.70
M404	784.30
M391	784.90
M415	799.30
M439	202.30
M441	390.90
M394	1062.50
M410	1062.90
M414	1063.50
M417	1063.70
M438	464.00
M440	464.20
M385	1064.50
M389	1064.90
M386	1065.60
M446	465.80
M390	1066.40
M442	675.10
M433	712.40
M432	712.70
M452	713.40
M437	714.00
M434	714.40
M478	114.70
M431	792.50
