Contact	DroppedMessage
64000	138736
128000	286626
42500	89542
106500	236865
21000	40968
85000	187876
63500	138736
127500	283872
42000	89542
106000	236865
20500	40968
84500	184829
63000	135805
127000	283872
41500	86752
105500	234043
20000	37992
84000	184829
62500	135805
126500	283872
41000	86752
105000	234043
19500	37992
83500	184829
62000	135805
126000	280850
40500	85034
104500	231125
19000	35100
83000	181757
61500	132819
125500	280850
40000	83650
104000	231125
18500	35100
82500	181757
61000	132819
125000	277886
39500	83650
103500	231100
18000	35100
82000	178731
60500	129978
124500	277886
39000	80837
103000	228122
17500	32204
81500	178731
60000	129978
124000	277886
38500	80837
102500	228122
17000	32204
81000	178731
59500	129978
123500	274988
38000	77821
102000	225404
16500	29363
80500	176033
59000	127577
123000	274988
37500	77821
101500	225404
16000	29363
80000	176033
58500	127577
122500	272115
37000	77821
101000	224271
15500	29363
79500	173152
58000	124802
122000	272115
36500	74908
100500	222404
15000	26136
79000	173152
57500	124802
121500	272115
36000	74908
100000	222404
14500	26136
78500	173152
57000	124802
121000	269320
35500	72146
99500	219482
14000	26136
78000	170037
56500	121740
120500	269320
35000	72146
99000	219482
13500	23206
77500	170037
56000	121740
120000	266331
34500	72146
98500	217224
13000	23206
77000	170037
55500	118740
119500	266331
34000	69133
98000	216726
12500	20156
76500	167266
55000	118740
119000	266331
33500	69133
97500	216726
12000	20156
76000	167266
54500	118740
118500	263344
33000	66201
97000	213710
11500	20156
75500	164564
54000	116088
118000	263344
32500	66201
96500	213710
11000	17379
75000	164564
53500	116088
117500	260425
32000	66201
96000	213710
10500	17379
74500	161680
53000	113070
117000	260425
31500	63220
95500	210916
10000	17379
74000	161680
52500	113070
116500	260425
31000	63220
95000	210916
9500	14590
73500	161680
52000	113070
116000	257671
30500	63220
94500	208037
9000	14590
73000	158917
51500	110288
115500	257671
30000	60451
94000	208037
8500	11372
72500	158917
136500	306994
51000	110288
115000	254506
29500	60451
93500	208037
8000	11372
72000	158917
136000	304092
50500	107126
114500	254506
29000	57527
93000	204930
7500	8374
71500	155884
135500	304092
50000	107126
114000	254506
28500	57527
92500	204930
7000	8374
71000	155884
135000	301096
49500	107126
113500	251368
28000	57527
92000	201927
6500	8374
70500	153131
134500	301096
49000	104199
113000	251368
27500	54843
91500	201927
6000	5496
70000	153131
134000	298342
48500	104199
112500	251368
27000	54843
91000	201927
5500	5496
69500	153131
133500	298342
48000	101143
112000	248640
26500	52025
90500	199286
5000	5496
69000	150227
133000	298342
47500	101143
111500	248640
26000	52025
90000	199286
4500	2744
68500	150227
132500	295516
47000	101143
111000	245710
25500	52025
89500	196474
4000	2744
68000	147209
132000	295516
46500	98083
110500	245710
25000	49207
89000	196474
3500	0
67500	147209
131500	292470
46000	98083
110000	245710
24500	49207
88500	196474
3000	0
67000	147209
131000	292470
45500	98083
109500	242715
24000	46275
88000	193613
2500	0
66500	144437
130500	292470
45000	95139
109000	242715
23500	46275
87500	193613
2000	0
66000	144437
130000	289582
44500	95139
108500	242150
23000	46275
87000	190766
1500	0
65500	141506
129500	289582
44000	92365
108000	239813
22500	43442
86500	190766
1000	0
65000	141506
129000	289582
43500	92365
107500	239813
22000	43442
86000	190766
500	0
64500	141506
128500	286626
43000	89542
107000	236865
21500	40968
85500	187876

