Contact	Latencies
64000	742.0042
128000	737.8465
42500	734.7427
106500	743.2038
21000	719.5245
85000	742.3433
63500	742.0042
127500	737.8800
42000	736.6692
106000	743.5934
20500	722.2410
84500	742.5747
63000	743.2515
127000	738.4954
41500	734.4884
105500	742.9730
20000	722.7231
84000	741.8758
62500	740.9072
126500	739.1092
41000	731.3411
105000	743.3009
19500	717.9567
83500	742.4972
62000	741.8345
126000	739.1092
40500	731.3411
104500	742.3751
19000	717.9469
83000	741.5061
61500	740.2794
125500	739.3922
40000	725.2131
104000	742.3267
18500	716.1976
82500	741.1899
61000	740.6737
125000	739.8226
39500	726.5620
103500	743.0099
18000	716.9498
82000	741.4115
60500	740.4880
124500	739.3461
39000	725.0713
103000	742.6268
17500	714.3393
81500	740.8958
60000	738.4160
124000	740.1964
38500	725.2489
102500	742.8049
17000	716.8749
81000	740.9644
59500	738.4160
123500	740.4271
38000	725.5782
102000	743.0512
16500	719.8814
80500	740.9768
59000	739.4669
123000	740.7448
37500	724.1397
101500	743.0864
16000	711.8990
80000	741.8761
58500	739.5277
122500	741.2973
37000	724.6430
101000	744.1739
15500	712.9482
79500	741.5798
58000	738.1514
122000	740.1027
36500	725.3889
100500	741.9029
15000	714.5650
79000	739.5269
57500	734.7639
121500	740.1027
36000	721.1230
100000	742.3468
14500	710.4584
78500	740.0803
57000	735.0788
121000	740.1202
35500	721.1230
99500	742.3468
14000	713.5223
78000	740.1991
56500	734.4442
120500	740.0907
35000	720.1227
99000	742.2173
13500	700.4678
77500	740.1991
56000	734.8681
120000	740.5314
34500	721.6520
98500	742.5817
13000	704.5036
77000	741.1252
55500	735.7100
119500	739.4073
34000	722.6429
98000	742.0781
12500	696.4363
76500	741.1252
55000	733.4608
119000	739.7122
33500	723.2584
97500	742.4317
12000	699.0824
76000	741.1252
54500	733.9101
118500	740.4497
33000	724.8482
97000	743.2195
11500	699.1524
75500	742.5486
54000	733.9101
118000	740.6921
32500	724.3136
96500	742.8253
11000	694.8985
75000	742.4638
53500	730.8820
117500	741.0280
32000	725.7789
96000	743.5822
10500	697.8531
74500	741.2231
53000	731.6589
117000	741.1740
31500	723.3737
95500	743.9516
10000	698.7651
74000	740.4437
52500	727.6843
116500	741.3554
31000	723.3737
95000	744.2172
9500	678.4000
73500	740.8983
52000	727.6843
116000	740.9870
30500	724.3851
94500	744.6198
9000	678.4000
73000	741.5909
51500	727.9201
115500	740.9503
30000	719.5827
94000	743.9350
8500	673.4194
72500	741.0203
136500	739.0953
51000	730.7862
115000	741.2195
29500	721.5594
93500	744.7718
8000	668.2449
72000	741.6968
136000	737.1413
50500	732.2925
114500	739.6134
29000	724.4310
93000	744.6658
7500	682.4747
71500	741.7841
135500	737.4300
50000	732.2925
114000	739.6134
28500	724.4310
92500	744.6658
7000	645.3222
71000	741.6638
135000	736.7482
49500	734.6114
113500	739.6134
28000	726.2298
92000	744.8445
6500	646.3968
70500	741.9174
134500	736.7957
49000	734.6114
113000	739.6752
27500	726.8390
91500	744.7346
6000	640.3339
70000	741.5486
134000	736.9880
48500	735.3155
112500	740.3779
27000	726.8390
91000	745.0120
5500	639.0887
69500	741.6604
133500	737.1563
48000	735.8177
112000	741.3561
26500	732.0698
90500	743.7477
5000	648.5310
69000	741.0508
133000	737.4253
47500	735.8177
111500	741.3238
26000	728.6492
90000	744.0730
4500	640.6436
68500	741.4018
132500	737.5375
47000	737.6391
111000	741.9520
25500	728.6492
89500	744.9241
4000	597.8600
68000	741.6959
132000	737.3322
46500	735.6454
110500	741.8782
25000	725.9722
89000	745.1126
3500	616.6722
67500	741.8792
131500	737.3322
46000	736.0516
110000	741.7069
24500	726.9627
88500	745.4462
3000	590.1455
67000	742.9923
131000	737.3118
45500	737.7079
109500	741.7069
24000	719.2966
88000	744.7440
2500	64.1000
66500	742.5241
130500	737.3118
45000	737.7079
109000	741.9951
23500	717.6381
87500	744.4383
2000	64.1000
66000	742.9120
130000	738.1440
44500	738.8166
108500	742.4202
23000	717.6381
87000	744.9091
1500	64.1000
65500	743.8974
129500	737.5723
44000	736.3972
108000	742.2300
22500	719.6642
86500	744.0028
1000	NaN
65000	743.3241
129000	737.7939
43500	737.8395
107500	742.5497
22000	721.7805
86000	744.2894
500	NaN
64500	744.1671
128500	737.3095
43000	738.4329
107000	743.1393
21500	725.4980
85500	743.3983

