Contact	NrofDelivered
64000	958
128000	1900
42500	618
106500	1611
21000	286
85000	1282
63500	958
127500	1899
42000	611
106000	1610
20500	278
84500	1280
63000	954
127000	1888
41500	606
105500	1591
20000	277
84000	1267
62500	933
126500	1879
41000	591
105000	1590
19500	263
83500	1259
62000	927
126000	1879
40500	591
104500	1577
19000	254
83000	1253
61500	917
125500	1873
40000	573
104000	1566
18500	248
82500	1243
61000	913
125000	1866
39500	568
103500	1561
18000	243
82000	1236
60500	908
124500	1859
39000	558
103000	1553
17500	234
81500	1227
60000	886
124000	1849
38500	544
102500	1546
17000	227
81000	1218
59500	886
123500	1845
38000	542
102000	1544
16500	220
80500	1215
59000	880
123000	1841
37500	529
101500	1538
16000	208
80000	1210
58500	871
122500	1836
37000	525
101000	1526
15500	199
79500	1198
58000	860
122000	1811
36500	522
100500	1504
15000	197
79000	1179
57500	839
121500	1811
36000	501
100000	1498
14500	185
78500	1173
57000	836
121000	1808
35500	501
99500	1498
14000	179
78000	1172
56500	832
120500	1795
35000	498
99000	1493
13500	171
77500	1172
56000	828
120000	1787
34500	485
98500	1488
13000	165
77000	1157
55500	823
119500	1779
34000	482
98000	1485
12500	157
76500	1157
55000	816
119000	1777
33500	474
97500	1480
12000	148
76000	1157
54500	803
118500	1764
33000	467
97000	1473
11500	145
75500	1147
54000	803
118000	1755
32500	463
96500	1465
11000	133
75000	1142
53500	785
117500	1751
32000	451
96000	1460
10500	130
74500	1124
53000	783
117000	1749
31500	437
95500	1449
10000	129
74000	1112
52500	757
116500	1739
31000	437
95000	1442
9500	107
73500	1111
52000	757
116000	1733
30500	430
94500	1433
9000	107
73000	1106
51500	756
115500	1724
30000	415
94000	1421
8500	103
72500	1098
136500	2037
51000	745
115000	1716
29500	411
93500	1412
8000	89
72000	1092
136000	2024
50500	733
114500	1704
29000	403
93000	1402
7500	79
71500	1081
135500	2023
50000	733
114000	1704
28500	403
92500	1402
7000	72
71000	1074
135000	2010
49500	721
113500	1704
28000	396
92000	1399
6500	63
70500	1072
134500	1999
49000	721
113000	1698
27500	390
91500	1392
6000	62
70000	1055
134000	1995
48500	705
112500	1688
27000	390
91000	1386
5500	53
69500	1049
133500	1987
48000	700
112000	1680
26500	377
90500	1374
5000	42
69000	1042
133000	1983
47500	700
111500	1676
26000	360
90000	1367
4500	39
68500	1031
132500	1979
47000	696
111000	1670
25500	360
89500	1360
4000	25
68000	1029
132000	1955
46500	676
110500	1655
25000	356
89000	1351
3500	18
67500	1021
131500	1955
46000	674
110000	1644
24500	346
88500	1341
3000	11
67000	1007
131000	1953
45500	660
109500	1644
24000	325
88000	1335
2500	1
66500	1004
130500	1953
45000	660
109000	1643
23500	320
87500	1332
2000	1
66000	1001
130000	1940
44500	656
108500	1636
23000	320
87000	1327
1500	1
65500	997
129500	1923
44000	642
108000	1628
22500	316
86500	1308
1000	0
65000	978
129000	1920
43500	635
107500	1623
22000	302
86000	1305
500	0
64500	972
128500	1914
43000	632
107000	1617
21500	294
85500	1295

