Contact	BufferOccupancy
64000	17.3314
128000	17.3702
42500	17.3274
106500	17.3575
21000	17.3607
85000	17.3977
63500	17.3402
127500	17.3652
42000	17.3477
106000	17.3763
20500	17.4796
84500	17.4106
63000	17.3794
127000	17.3582
41500	17.3439
105500	17.3549
20000	17.3719
84000	17.3884
62500	17.3594
126500	17.3691
41000	17.3389
105000	17.3679
19500	17.2982
83500	17.4067
62000	17.3732
126000	17.3478
40500	17.3923
104500	17.3677
19000	17.2694
83000	17.4016
61500	17.3562
125500	17.3478
40000	17.3130
104000	17.3613
18500	17.1571
82500	17.4010
61000	17.3468
125000	17.3533
39500	17.3347
103500	17.3849
18000	17.2320
82000	17.4180
60500	17.3633
124500	17.3389
39000	17.3155
103000	17.3582
17500	17.1251
81500	17.3942
60000	17.3228
124000	17.3487
38500	17.3085
102500	17.3623
17000	17.1056
81000	17.4087
59500	17.3331
123500	17.3376
38000	17.3586
102000	17.3662
16500	17.2284
80500	17.4050
59000	17.3388
123000	17.3414
37500	17.3147
101500	17.3627
16000	17.0748
80000	17.3977
58500	17.3645
122500	17.3543
37000	17.3461
101000	17.3793
15500	17.1521
79500	17.4192
58000	17.3924
122000	17.3507
36500	17.3169
100500	17.3728
15000	17.1132
79000	17.3851
57500	17.3935
121500	17.3643
36000	17.2926
100000	17.3810
14500	17.1151
78500	17.3920
57000	17.4145
121000	17.3491
35500	17.3458
99500	17.3818
14000	17.2305
78000	17.3761
56500	17.3849
120500	17.3502
35000	17.2528
99000	17.3642
13500	17.1379
77500	17.3575
56000	17.3834
120000	17.3607
34500	17.2687
98500	17.3828
13000	17.1424
77000	17.3843
55500	17.4126
119500	17.3384
34000	17.2298
98000	17.3633
12500	17.1347
76500	17.3704
55000	17.3330
119000	17.3467
33500	17.2238
97500	17.3697
12000	16.8823
76000	17.3800
54500	17.3327
118500	17.3428
33000	17.2755
97000	17.3636
11500	16.9407
75500	17.3792
54000	17.3259
118000	17.3423
32500	17.2178
96500	17.3561
11000	16.9692
75000	17.3753
53500	17.3222
117500	17.3589
32000	17.2671
96000	17.3789
10500	16.9705
74500	17.3922
53000	17.3580
117000	17.3418
31500	17.2451
95500	17.3770
10000	17.2255
74000	17.3669
52500	17.3184
116500	17.3541
31000	17.2329
95000	17.3886
9500	17.1008
73500	17.3783
52000	17.3400
116000	17.3525
30500	17.3156
94500	17.4055
9000	17.2511
73000	17.3789
51500	17.3046
115500	17.3564
30000	17.2689
94000	17.3830
8500	16.9286
72500	17.3744
136500	17.3867
51000	17.2751
115000	17.3723
29500	17.3392
93500	17.3945
8000	16.6229
72000	17.4057
136000	17.3695
50500	17.2941
114500	17.3479
29000	17.3149
93000	17.3745
7500	16.6730
71500	17.3703
135500	17.3767
50000	17.2227
114000	17.3517
28500	17.2911
92500	17.3680
7000	16.0811
71000	17.3548
135000	17.3741
49500	17.2311
113500	17.3427
28000	17.3335
92000	17.3689
6500	16.2108
70500	17.3653
134500	17.3719
49000	17.2181
113000	17.3336
27500	17.2699
91500	17.3391
6000	15.7430
70000	17.3484
134000	17.3833
48500	17.2224
112500	17.3483
27000	17.2862
91000	17.3488
5500	15.4807
69500	17.3652
133500	17.3700
48000	17.2610
112000	17.3402
26500	17.3294
90500	17.3354
5000	15.9016
69000	17.3549
133000	17.3794
47500	17.2388
111500	17.3534
26000	17.3424
90000	17.3496
4500	15.6954
68500	17.3824
132500	17.3773
47000	17.2923
111000	17.3572
25500	17.4138
89500	17.3583
4000	16.1452
68000	17.3731
132000	17.3773
46500	17.3063
110500	17.3499
25000	17.3221
89000	17.3573
3500	15.3359
67500	17.3645
131500	17.3844
46000	17.2890
110000	17.3607
24500	17.3258
88500	17.3850
3000	12.1380
67000	17.3941
131000	17.3709
45500	17.3295
109500	17.3523
24000	17.3638
88000	17.3763
2500	8.5915
66500	17.3601
130500	17.3860
45000	17.2925
109000	17.3524
23500	17.2651
87500	17.3730
2000	5.6288
66000	17.3552
130000	17.3815
44500	17.3384
108500	17.3743
23000	17.3321
87000	17.3936
1500	5.7516
65500	17.3638
129500	17.3714
44000	17.3199
108000	17.3552
22500	17.2568
86500	17.3868
1000	0
65000	17.3367
129000	17.3805
43500	17.3238
107500	17.3674
22000	17.3119
86000	17.4101
500	0
64500	17.3517
128500	17.3607
43000	17.3792
107000	17.3665
21500	17.4362
85500	17.3988

