Message ID 	 Delay
M22	64.10
M23	273.00
M17	640.50
M18	640.80
M14	641.50
M29	641.90
M28	642.20
M21	642.70
M16	643.30
M34	643.60
M19	644.10
M20	644.80
M15	859.70
M35	860.30
M24	905.80
M11	906.00
M13	906.60
M61	385.20
M62	497.40
M60	557.60
M56	557.80
M66	558.00
M58	558.60
M59	559.10
M67	559.30
M99	221.10
M51	849.20
M49	849.70
M98	294.50
M54	894.70
M53	895.00
M44	895.70
M72	896.30
M69	896.90
M97	297.20
M75	897.70
M73	897.90
M48	924.90
M57	1002.40
M96	402.80
M100	567.60
M94	722.30
M95	722.60
M105	722.80
M92	723.10
M91	723.70
M104	724.30
M93	724.80
M136	125.00
M111	725.40
M137	150.60
M89	751.30
M106	978.40
M142	378.70
M85	979.20
M135	379.90
M132	380.50
M107	981.10
M87	1022.20
M103	1022.70
M134	433.30
M138	672.70
M175	98.40
M174	194.40
M148	794.80
M130	795.10
M133	795.70
M149	796.00
M129	796.30
M128	1063.10
M131	1063.80
M123	1064.10
M141	1064.50
M127	1065.10
M125	1065.80
M169	560.10
M180	560.30
M173	560.70
M170	561.00
M172	561.70
M168	562.10
M181	562.60
M212	142.70
M167	742.90
M213	284.30
M165	885.00
M176	885.40
M187	979.80
M189	980.00
M171	980.40
M210	380.90
M219	381.20
M186	981.80
M208	382.10
M183	982.40
M182	982.80
M166	983.30
M218	400.60
M203	475.20
M163	1075.50
M179	1075.70
M164	1075.90
M214	600.60
M224	917.80
M251	318.30
M207	918.90
M217	919.40
M206	920.00
M227	1063.20
M225	1063.70
M209	1064.10
M246	464.80
M248	465.20
M226	1065.80
M249	466.20
M250	466.80
M196	1067.10
M257	467.40
M256	467.60
M197	1144.40
M247	544.70
M220	1145.20
M244	545.70
M241	580.00
M288	325.30
M263	925.60
M243	926.00
M286	387.50
M262	987.80
M255	1071.90
M289	472.50
M290	473.00
M239	1073.20
M252	1073.60
M285	567.90
M294	568.50
M287	569.20
M295	611.10
M282	695.10
M281	695.80
M284	696.20
M279	866.00
M327	266.50
M333	316.30
M326	316.80
M296	917.30
M325	318.00
M300	918.60
M301	919.20
M283	929.30
M277	1136.50
M324	537.20
M293	1137.40
M321	537.90
M317	623.30
M328	654.10
M338	778.20
M319	778.70
M364	178.90
M314	1065.60
M320	1066.20
M311	1066.60
M315	1067.10
M313	1067.80
M339	1068.30
M331	1068.70
M340	1069.40
M366	717.90
M358	718.30
M371	718.90
M360	719.40
M365	719.70
M403	119.90
M362	975.30
M370	975.80
M401	376.50
M400	377.00
M357	977.30
M402	377.60
M408	378.10
M377	978.40
M363	979.10
M409	553.20
M398	553.90
M395	686.50
M414	687.10
M399	687.30
M391	783.00
M393	783.60
M404	784.20
M439	197.20
M415	797.40
M441	390.90
M446	462.30
M436	462.90
M410	1063.30
M411	1063.60
M447	464.30
M440	464.50
M390	1065.10
M417	1065.30
M386	1066.00
M396	1066.60
M389	1067.00
M442	675.10
M452	712.60
M437	713.20
M433	713.70
M432	714.00
M438	714.30
M435	714.80
M453	715.50
M479	192.10
M478	262.10
M427	1063.70
M477	464.20
M484	464.50
M485	623.70
M474	624.10
M473	624.50
M516	198.70
M475	799.30
M490	799.90
M471	800.50
M491	801.10
M480	889.10
M466	889.60
M469	889.90
M467	890.10
M472	890.40
M512	486.90
M487	1087.20
M523	487.80
M483	1122.10
M518	522.30
M555	91.00
M514	937.80
M531	938.30
M554	338.70
M503	939.40
M509	940.00
M511	940.70
M510	941.30
M507	941.50
M528	942.00
M522	942.30
M513	942.90
M561	343.40
M529	944.10
M530	944.40
M560	588.70
M553	589.00
M552	589.40
M593	117.80
M556	718.40
M545	718.80
M567	808.40
M551	808.90
M592	209.40
M542	937.60
M546	937.90
M547	938.10
M550	938.50
M544	938.80
M559	939.40
M549	939.90
M548	940.40
M589	594.60
M598	595.20
M590	595.50
M588	595.70
M591	596.20
M586	767.20
M630	167.80
M585	768.50
M605	768.70
M604	769.20
M584	787.60
M631	188.00
M594	808.40
M583	808.60
M626	345.50
M629	345.80
M637	346.40
M607	961.40
M579	961.70
M600	961.90
M621	444.50
M628	595.00
M636	595.40
M669	464.60
M619	1064.80
M670	465.40
M632	1065.80
M617	1104.60
M659	505.20
M642	1105.50
M638	1105.90
M645	1106.60
M643	1107.00
M625	1107.30
M624	1107.70
M618	1108.10
M623	1108.30
M635	1108.50
M675	676.80
M668	677.00
M665	677.60
M663	678.30
M667	678.70
M674	679.20
M707	120.00
M677	886.60
M680	887.10
M681	887.80
M683	888.30
M676	888.60
M661	889.20
M662	889.80
M660	890.30
M705	290.60
M702	291.10
M706	291.70
M657	1092.30
M653	1092.60
M656	1093.00
M673	1093.60
M704	589.10
M713	589.50
M699	885.70
M744	286.40
M712	887.00
M743	287.20
M701	887.60
M698	888.00
M703	888.30
M697	949.30
M695	949.90
M694	950.30
M708	950.70
M711	951.10
M750	360.00
M745	567.40
M739	598.90
M735	599.50
M742	716.10
M738	716.50
M741	717.10
M782	117.30
M737	717.80
M756	718.20
M783	118.40
M758	977.00
M757	977.60
M781	378.20
M778	378.80
M733	1029.00
M789	657.50
M777	658.00
M773	658.20
M771	658.90
M780	728.50
M788	728.90
M779	729.50
M784	763.30
M827	564.00
M814	564.30
M818	564.90
M816	565.20
M819	565.70
M820	566.30
M815	566.90
M811	656.30
M821	657.00
M833	744.60
M858	144.90
M832	745.20
M822	887.80
M859	288.40
M834	1001.70
M807	1002.30
M826	1002.70
M854	402.90
M857	403.60
M813	1004.00
M856	404.40
