Contact	DroppedMessage
64000	172451
128000	353322
42500	111647
106500	292670
21000	50904
85000	232350
63500	172085
127500	350413
42000	111399
106000	292356
20500	50647
84500	229286
63000	169220
127000	350079
41500	108515
105500	289419
20000	47364
84000	228976
62500	168829
126500	349920
41000	108145
105000	289184
19500	47102
83500	228667
62000	168519
126000	346763
40500	105390
104500	286073
19000	44107
83000	225709
61500	165644
125500	346486
40000	104509
104000	285687
18500	43774
82500	225319
61000	165289
125000	343431
39500	104194
103500	285451
18000	43537
82000	222193
60500	161969
124500	343063
39000	101160
103000	282257
17500	40474
81500	221788
60000	161542
124000	342785
38500	100779
102500	281985
17000	40224
81000	221435
59500	161227
123500	339482
38000	97635
102000	279095
16500	37196
80500	218266
59000	158546
123000	339088
37500	97220
101500	278749
16000	36894
80000	217828
58500	158189
122500	336447
37000	96947
101000	278254
15500	36599
79500	214716
58000	155487
122000	336026
36500	93821
100500	275578
15000	33640
79000	214404
57500	155141
121500	335783
36000	93533
100000	275298
14500	33285
78500	214091
57000	154848
121000	332821
35500	90523
99500	271950
14000	33109
78000	210884
56500	151428
120500	332512
35000	90192
99000	271608
13500	29967
77500	210500
56000	151055
120000	329308
34500	89917
98500	270701
13000	29607
77000	210287
55500	147768
119500	328893
34000	86987
98000	268366
12500	26542
76500	207572
55000	147368
119000	328651
33500	86677
97500	268062
12000	26146
76000	207286
54500	147080
118500	325267
33000	83903
97000	265010
11500	25946
75500	204397
54000	144482
118000	324858
32500	83568
96500	264648
11000	22896
75000	203987
53500	144139
117500	322036
32000	83292
96000	264396
10500	22597
74500	201060
53000	140978
117000	321633
31500	79822
95500	261544
10000	22389
74000	200713
52500	140651
116500	321446
31000	79450
95000	261158
9500	19433
73500	200431
52000	140353
116000	318533
30500	79257
94500	258834
9000	19138
73000	198017
51500	137430
115500	318215
30000	76064
94000	257770
8500	15315
72500	197662
136500	378114
51000	137101
115000	315070
29500	75714
93500	257450
8000	14908
72000	197455
136000	375142
50500	133938
114500	314715
29000	72342
93000	254316
7500	11751
71500	194237
135500	374773
50000	133566
114000	314453
28500	71884
92500	253962
7000	11392
71000	193882
135000	371781
49500	133275
113500	311266
28000	71746
92000	250567
6500	11093
70500	190697
134500	371414
49000	129796
113000	310856
27500	68865
91500	250124
6000	7680
70000	190277
134000	368849
48500	129384
112500	310639
27000	68586
91000	249831
5500	7262
69500	190016
133500	368521
48000	126373
112000	307582
26500	65799
90500	247151
5000	7071
69000	186987
133000	368283
47500	125930
111500	307239
26000	65427
90000	246835
4500	4468
68500	186613
132500	365051
47000	125634
111000	304251
25500	65223
89500	243892
4000	4171
68000	183183
132000	364641
46500	122481
110500	303875
25000	61935
89000	243478
3500	678
67500	182764
131500	361541
46000	122113
110000	303657
24500	61600
88500	243183
3000	254
67000	182424
131000	361157
45500	121859
109500	300549
24000	58468
88000	239584
2500	30
66500	179349
130500	360815
45000	118815
109000	300229
23500	58084
87500	239180
2000	0
66000	179012
130000	357389
44500	118471
108500	297821
23000	57903
87000	236432
1500	0
65500	175952
129500	357040
44000	115298
108000	296720
22500	54522
86500	236001
1000	0
65000	175528
129000	356811
43500	114883
107500	296397
22000	54187
86000	235736
500	0
64500	175264
128500	353682
43000	112031
107000	293097
21500	51265
85500	232758

