Contact	Latencies
64000	737.6839
128000	732.7270
42500	734.5164
106500	739.2535
21000	715.6780
85000	740.5482
63500	737.6839
127500	732.8375
42000	736.4495
106000	739.2699
20500	719.2842
84500	740.8048
63000	739.3332
127000	733.4974
41500	733.2965
105500	738.7857
20000	720.8472
84000	740.6166
62500	737.3478
126500	734.0184
41000	731.6341
105000	739.1522
19500	712.8602
83500	740.7512
62000	738.1677
126000	734.0184
40500	731.6341
104500	738.2899
19000	714.9465
83000	740.1670
61500	737.3245
125500	734.3908
40000	727.1233
104000	738.4037
18500	711.0604
82500	740.1541
61000	737.9092
125000	734.9973
39500	727.4671
103500	739.1580
18000	711.7686
82000	739.7903
60500	738.6819
124500	734.4506
39000	726.4456
103000	738.9001
17500	713.6654
81500	739.0656
60000	735.9921
124000	735.3658
38500	726.6287
102500	739.1191
17000	718.2557
81000	739.4208
59500	735.9921
123500	735.5525
38000	727.0027
102000	739.3905
16500	718.6127
80500	739.9827
59000	737.4862
123000	735.7596
37500	724.2471
101500	739.4138
16000	712.9958
80000	739.7375
58500	737.5296
122500	736.3124
37000	724.8102
101000	740.1413
15500	714.6136
79500	739.1218
58000	736.2352
122000	735.6698
36500	725.8219
100500	738.5576
15000	716.3835
79000	737.5397
57500	733.9497
121500	735.6698
36000	720.5566
100000	739.0351
14500	716.6861
78500	737.5736
57000	734.2997
121000	735.4397
35500	720.5566
99500	739.0351
14000	720.1952
78000	737.7045
56500	734.7519
120500	735.6684
35000	721.0812
99000	738.9163
13500	702.7226
77500	738.1432
56000	735.3965
120000	736.0171
34500	722.5947
98500	739.3929
13000	705.1096
77000	738.8616
55500	736.3414
119500	735.3173
34000	723.3367
98000	738.6272
12500	702.4713
76500	738.8616
55000	733.3491
119000	735.5027
33500	724.5087
97500	739.3976
12000	706.4021
76000	738.8616
54500	733.9240
118500	736.2064
33000	726.1974
97000	739.6352
11500	706.6348
75500	740.2511
54000	734.3222
118000	736.5171
32500	725.7785
96500	739.3793
11000	705.6953
75000	740.1838
53500	732.9623
117500	736.7930
32000	728.1029
96000	740.2593
10500	705.5040
74500	738.0791
53000	733.8239
117000	736.6794
31500	723.0762
95500	740.8784
10000	706.5244
74000	737.1888
52500	729.1278
116500	737.3234
31000	723.0762
95000	741.1587
9500	693.2641
73500	737.6815
52000	729.1278
116000	737.0959
30500	722.7226
94500	741.1357
9000	693.2641
73000	738.0589
51500	729.3936
115500	737.0376
30000	719.5454
94000	741.2167
8500	684.7276
72500	738.2949
136500	733.4134
51000	730.2336
115000	737.2513
29500	721.6492
93500	741.7422
8000	674.2060
72000	738.5355
136000	731.5677
50500	731.8147
114500	735.8063
29000	725.0033
93000	741.9167
7500	690.9227
71500	737.6969
135500	731.8904
50000	731.8147
114000	735.8063
28500	725.0033
92500	741.9167
7000	658.4464
71000	737.7616
135000	730.7515
49500	733.0370
113500	735.8063
28000	725.6118
92000	742.0462
6500	663.7607
70500	738.0388
134500	731.2252
49000	733.0370
113000	736.3477
27500	725.2920
91500	741.8800
6000	655.3655
70000	736.7901
134000	731.3789
48500	734.4752
112500	736.8136
27000	725.2920
91000	742.5856
5500	652.5654
69500	737.4581
133500	731.1744
48000	735.1341
112000	737.4427
26500	730.1626
90500	741.0152
5000	663.7475
69000	736.5259
133000	731.4903
47500	735.1341
111500	737.7237
26000	728.2495
90000	741.3662
4500	654.5892
68500	736.8986
132500	731.5211
47000	737.5889
111000	738.0303
25500	728.2495
89500	742.2837
4000	617.3560
68000	737.5114
132000	731.1947
46500	735.8263
110500	738.0418
25000	724.5944
89000	742.7730
3500	643.6722
67500	737.2435
131500	731.1947
46000	736.2781
110000	737.8797
24500	726.5045
88500	742.6262
3000	563.5417
67000	737.7475
131000	731.3230
45500	736.8773
109500	737.8797
24000	715.3082
88000	740.7095
2500	168.5500
66500	737.2002
130500	731.3230
45000	736.8773
109000	738.2014
23500	714.6207
87500	740.2370
2000	168.5500
66000	737.6209
130000	732.1480
44500	738.0486
108500	738.6544
23000	714.6207
87000	740.6480
1500	64.1000
65500	738.6893
129500	732.1532
44000	735.0081
108000	738.1909
22500	716.3941
86500	741.0289
1000	NaN
65000	737.9484
129000	732.3933
43500	736.8396
107500	738.3422
22000	718.1876
86000	741.4107
500	NaN
64500	738.9331
128500	732.0961
43000	737.2984
107000	738.8007
21500	722.3640
85500	740.5020

