Contact	NrofDelivered
64000	851
128000	1686
42500	554
106500	1429
21000	259
85000	1143
63500	851
127500	1682
42000	548
106000	1428
20500	253
84500	1141
63000	844
127000	1671
41500	542
105500	1412
20000	250
84000	1131
62500	827
126500	1664
41000	531
105000	1411
19500	236
83500	1124
62000	823
126000	1664
40500	531
104500	1402
19000	230
83000	1118
61500	815
125500	1659
40000	516
104000	1393
18500	225
82500	1112
61000	813
125000	1650
39500	511
103500	1388
18000	220
82000	1104
60500	811
124500	1645
39000	500
103000	1381
17500	214
81500	1100
60000	788
124000	1636
38500	488
102500	1375
17000	212
81000	1089
59500	788
123500	1633
38000	486
102000	1373
16500	204
80500	1086
59000	780
123000	1631
37500	473
101500	1367
16000	192
80000	1077
58500	771
122500	1625
37000	469
101000	1357
15500	184
79500	1068
58000	762
122000	1607
36500	466
100500	1342
15000	182
79000	1051
57500	747
121500	1607
36000	447
100000	1337
14500	173
78500	1045
57000	744
121000	1603
35500	447
99500	1337
14000	167
78000	1044
56500	742
120500	1593
35000	446
99000	1331
13500	159
77500	1043
56000	740
120000	1587
34500	435
98500	1325
13000	156
77000	1031
55500	735
119500	1580
34000	433
98000	1321
12500	150
76500	1031
55000	727
119000	1575
33500	426
97500	1314
12000	141
76000	1031
54500	718
118500	1565
33000	421
97000	1310
11500	138
75500	1024
54000	717
118000	1557
32500	419
96500	1302
11000	129
75000	1017
53500	705
117500	1554
32000	410
96000	1298
10500	124
74500	998
53000	704
117000	1553
31500	395
95500	1289
10000	123
74000	988
52500	677
116500	1546
31000	395
95000	1282
9500	103
73500	987
52000	677
116000	1541
30500	389
94500	1276
9000	103
73000	985
51500	676
115500	1532
30000	379
94000	1270
8500	98
72500	976
136500	1804
51000	666
115000	1526
29500	374
93500	1261
8000	84
72000	972
136000	1793
50500	655
114500	1514
29000	365
93000	1249
7500	75
71500	960
135500	1792
50000	655
114000	1514
28500	365
92500	1249
7000	69
71000	955
135000	1779
49500	649
113500	1514
28000	357
92000	1247
6500	61
70500	953
134500	1769
49000	649
113000	1506
27500	352
91500	1242
6000	58
70000	940
134000	1766
48500	636
112500	1498
27000	352
91000	1234
5500	52
69500	933
133500	1760
48000	630
112000	1493
26500	342
90500	1223
5000	40
69000	922
133000	1758
47500	630
111500	1488
26000	329
90000	1216
4500	37
68500	915
132500	1755
47000	624
111000	1483
25500	329
89500	1209
4000	25
68000	911
132000	1733
46500	609
110500	1471
25000	323
89000	1204
3500	18
67500	904
131500	1733
46000	607
110000	1461
24500	311
88500	1194
3000	12
67000	891
131000	1730
45500	595
109500	1461
24000	294
88000	1186
2500	2
66500	888
130500	1730
45000	595
109000	1460
23500	290
87500	1182
2000	2
66000	885
130000	1719
44500	592
108500	1453
23000	290
87000	1178
1500	1
65500	882
129500	1708
44000	579
108000	1446
22500	287
86500	1165
1000	0
65000	866
129000	1705
43500	570
107500	1439
22000	274
86000	1163
500	0
64500	858
128500	1694
43000	568
107000	1435
21500	267
85500	1155

