Message ID 	 Delay
M34	183.20
M5	207.20
M58	362.60
M22	663.00
M20	663.70
M59	364.20
M13	664.80
M17	665.30
M98	65.50
M28	665.80
M25	668.70
M49	369.20
M62	371.90
M51	372.50
M11	672.70
M55	373.20
M24	673.70
M81	76.50
M43	628.00
M100	328.70
M46	629.40
M23	929.80
M35	930.40
M90	331.00
M29	931.40
M37	931.80
M60	632.20
M27	932.70
M111	333.10
M85	333.60
M65	634.20
M75	634.70
M14	935.40
M106	335.60
M48	635.80
M44	636.50
M84	337.10
M91	337.70
M45	638.40
M19	938.90
M99	339.60
M113	340.00
M6	941.80
M137	184.90
M16	1085.50
M67	785.70
M96	539.40
M135	240.10
M52	840.70
M72	841.30
M142	244.20
M122	248.10
M76	848.50
M134	492.30
M103	792.80
M73	1093.00
M53	1093.30
M66	1093.50
M95	793.80
M54	1094.00
M110	872.30
M105	874.00
M128	574.50
M89	875.20
M83	875.50
M82	876.20
M160	277.90
M149	578.20
M148	578.60
M109	879.10
M130	579.40
M121	579.70
M173	469.70
M159	470.40
M209	170.80
M124	771.00
M123	771.30
M131	772.00
M126	773.80
M94	1074.00
M102	1074.50
M141	774.90
M107	1075.50
M101	1075.90
M180	488.10
M120	788.70
M104	1089.30
M86	1089.50
M129	789.80
M132	790.40
M127	799.20
M144	799.80
M88	1100.10
M151	800.80
M189	555.30
M179	555.50
M201	256.10
M182	556.50
M136	856.70
M138	857.20
M168	557.60
M217	258.10
M198	261.80
M152	862.10
M195	262.60
M183	562.90
M187	563.30
M228	264.00
M190	564.70
M118	865.20
M221	967.90
M288	368.40
M251	668.90
M225	969.40
M220	969.90
M218	970.50
M211	970.90
M247	671.20
M248	671.60
M203	972.00
M212	972.60
M244	673.10
M246	673.80
M200	974.10
M286	374.40
M219	974.70
M215	975.10
M210	975.60
M255	676.10
M250	676.70
M271	377.30
M238	677.90
M234	678.30
M197	978.70
M253	679.00
M243	679.40
M208	979.70
M192	980.40
M293	383.40
M196	983.80
M233	684.40
M320	85.00
M199	1135.50
M325	236.20
M263	836.50
M239	888.80
M272	589.10
M301	589.70
M284	689.60
M262	989.90
M235	990.50
M256	990.70
M241	991.10
M237	1099.50
M273	800.10
M236	1100.80
M240	1101.20
M230	1101.70
M258	1101.90
M259	1102.20
M279	802.60
M252	1103.00
M282	803.60
M364	203.80
M338	504.40
M353	206.60
M283	1071.80
M300	1072.40
M339	1088.70
M372	789.00
M317	1089.30
M336	1089.60
M373	790.20
M330	1090.60
M407	491.10
M371	791.70
M307	1092.00
M326	1092.50
M363	793.20
M361	793.50
M351	794.20
M356	794.70
M334	1095.40
M327	1095.90
M340	1096.60
M342	1096.80
M395	497.50
M341	1097.80
M315	1098.30
M309	1098.90
M380	799.30
M323	1099.50
M357	799.80
M331	1100.20
M359	800.60
M358	801.00
M346	801.50
M362	801.80
M314	1102.10
M318	1102.40
M335	1102.90
M397	503.60
M306	1103.80
M332	1104.30
M399	504.50
M374	804.80
M376	805.40
M367	819.00
M403	519.20
M368	819.40
M417	519.60
M365	819.90
M329	1120.20
M328	1120.40
M348	957.00
M402	671.80
M377	972.10
M406	694.30
M350	994.60
M441	394.80
M385	695.10
M423	395.50
M360	996.00
M343	996.40
M398	697.10
M389	697.50
M446	397.70
M396	925.50
M477	326.00
M418	926.40
M411	926.70
M439	627.30
M414	927.90
M394	928.30
M433	628.80
M471	329.40
M415	929.60
M381	930.00
M448	630.60
M401	931.30
M409	931.70
M452	642.20
M476	354.90
M408	955.40
M400	955.90
M382	1114.50
M453	815.20
M384	1115.50
M393	1116.10
M438	816.40
M410	1116.80
M386	1117.50
M436	818.10
M383	1118.30
M387	1118.80
M390	1119.40
M391	1120.00
M507	225.80
M485	526.10
M518	226.30
M494	793.80
M472	794.10
M420	1094.30
M516	494.80
M428	1095.50
M444	1095.90
M473	796.30
M437	1096.90
M470	797.20
M450	1097.50
M524	498.00
M431	1098.60
M451	1099.10
M538	199.80
M465	806.50
M500	506.90
M509	603.30
M553	303.60
M493	917.30
M499	618.00
M461	918.70
M541	930.20
M560	930.50
M556	931.10
M598	631.70
M594	632.40
M593	632.70
M547	932.90
M559	933.50
M616	334.20
M551	934.70
M622	334.90
M568	935.40
M564	935.60
M548	936.10
M628	336.80
M592	637.30
M579	637.60
M552	938.00
M569	938.20
M539	938.70
M583	638.90
M630	339.50
M545	939.90
M542	940.10
M575	640.30
M543	940.90
M600	650.10
M589	650.70
M669	117.90
M631	418.30
M562	1018.70
M599	719.40
M627	607.40
M666	307.80
M604	908.30
M590	908.60
M588	908.80
M667	309.20
M584	909.70
M606	910.20
M591	910.70
