Message ID 	 Delay
M22	64.10
M29	640.40
M28	640.70
M21	641.20
M14	641.90
M18	642.20
M19	642.70
M20	643.40
M59	259.60
M60	260.00
M11	905.50
M24	906.00
M16	906.60
M13	907.20
M61	385.20
M23	985.60
M62	497.40
M54	549.50
M55	557.70
M58	558.30
M67	558.50
M56	558.70
M66	558.90
M99	221.10
M51	849.20
M98	294.50
M94	294.70
M44	895.40
M69	896.00
M73	896.20
M57	896.60
M47	897.00
M52	897.60
M53	897.90
M96	402.40
M100	567.60
M91	722.70
M93	723.20
M97	723.50
M104	724.10
M95	724.40
M111	724.80
M110	725.10
M105	725.30
M92	725.60
M136	125.80
M137	150.60
M90	751.20
M106	978.40
M142	378.70
M134	379.30
M135	380.00
M132	380.60
M143	381.00
M89	1022.30
M138	672.70
M175	98.40
M149	794.20
M133	794.80
M174	195.30
M130	795.60
M148	796.00
M129	796.30
M128	796.80
M123	1062.90
M141	1063.30
M125	1064.00
M124	1064.20
M126	1064.60
M127	1065.20
M131	1065.90
M181	560.10
M172	560.80
M171	561.20
M170	561.50
M173	561.90
M180	562.10
M169	562.60
M187	742.50
M167	742.70
M213	284.30
M165	885.00
M176	885.40
M210	379.90
M189	980.10
M166	980.60
M168	981.00
M183	981.30
M212	381.90
M186	982.50
M208	382.80
M182	983.20
M219	383.50
M211	400.40
M218	401.00
M203	475.20
M164	1075.40
M163	1075.70
M214	600.60
M217	918.00
M251	318.50
M206	919.10
M205	919.30
M200	919.60
M225	1063.30
M199	1063.70
M250	464.30
M257	464.60
M207	1065.20
M246	465.90
M248	466.30
M226	1066.90
M256	467.10
M249	467.50
M209	1067.90
M224	1068.20
M196	1068.50
M221	1144.50
M227	1144.90
M247	545.20
M244	545.70
M245	580.20
M288	325.30
M263	987.50
M286	387.80
M239	1071.60
M240	1072.00
M241	1072.40
M252	1072.80
M285	567.90
M294	568.50
M287	569.20
M290	611.10
M279	611.50
M295	621.30
M289	621.90
M284	622.30
M282	695.10
M280	695.50
M281	696.20
M326	316.30
M301	916.90
M296	917.40
M275	917.80
M300	918.40
M322	319.00
M333	319.50
M325	320.20
M283	926.90
M293	1136.00
M324	536.70
M321	537.20
M276	1137.70
M297	1138.00
M317	623.30
M327	623.80
M328	654.10
M338	778.20
M319	778.70
M320	779.30
M339	779.80
M364	180.00
M365	241.00
M331	1065.70
M355	466.20
M334	1066.90
M314	1067.20
M315	1067.70
M340	1068.40
M358	717.80
M371	718.40
M359	718.80
M366	719.30
M403	119.50
M360	720.00
M400	375.50
M362	975.80
M401	376.50
M370	977.00
M402	377.30
M408	377.80
M376	978.40
M361	978.70
M357	979.00
M363	979.70
M377	980.00
M409	553.20
M398	553.90
M399	686.00
M395	686.70
M391	783.00
M415	796.20
M439	201.30
M396	801.90
M397	991.40
M441	391.60
M404	992.20
M393	992.80
M417	1062.30
M446	462.50
M410	1062.90
M386	1063.60
M438	463.90
M389	1064.30
M414	1064.90
M385	1065.20
M390	1065.80
M440	466.00
M442	675.10
M452	712.60
M437	713.20
M432	713.50
M478	113.80
M433	714.30
M434	714.70
M435	792.40
M447	793.10
M479	193.30
M429	793.80
M436	794.40
M477	262.30
M476	464.00
M449	1064.50
M453	1065.20
M427	1065.50
M484	465.80
M448	1066.40
M485	623.70
M474	624.10
M473	624.50
M491	798.80
M516	199.30
M475	799.90
M472	800.20
M469	888.90
M480	889.40
M471	890.00
M466	890.50
M490	891.10
M467	891.30
M517	291.70
M512	486.90
M493	1087.60
M514	488.20
M470	1088.50
M523	489.10
M518	521.90
M483	1122.30
M530	937.50
M528	938.00
M513	938.60
M522	938.90
M554	339.30
M531	939.80
M511	940.50
M510	941.10
M553	341.40
M529	942.10
M509	942.70
M503	943.40
M507	943.60
M555	383.70
M561	588.90
M560	589.20
M593	117.80
M556	718.40
M545	718.80
M551	808.20
M552	808.60
M592	209.10
M566	809.60
M544	937.70
M550	938.10
M549	938.60
M542	938.80
M547	939.00
M599	594.70
M598	595.30
M589	595.90
M588	596.10
M590	766.80
M591	767.30
M605	767.50
M630	168.10
M604	768.60
M585	769.30
M631	183.10
M586	783.80
M584	787.60
M583	807.90
M594	808.60
M579	831.70
M629	234.10
M587	834.60
M626	345.50
M637	346.10
M607	961.40
M600	961.60
M621	444.50
M627	594.60
M628	595.30
M636	595.70
M670	464.80
M625	1065.10
M632	1065.50
M669	465.90
M619	1066.10
M620	1104.20
M623	1104.40
M615	1105.10
M617	1105.80
M618	1106.20
M635	1106.40
M643	1106.80
M638	1107.20
M645	1107.90
M622	1108.10
M666	676.50
M668	676.70
M665	677.30
M664	677.70
M667	678.10
M662	678.70
M674	679.20
M675	679.90
M707	120.00
M659	720.60
M706	286.80
M705	287.10
M680	887.60
M683	888.10
M676	888.40
M677	888.80
M661	889.40
M660	889.90
M702	290.40
M663	891.10
M681	891.80
M656	1092.10
M657	1092.70
M655	1093.20
M673	1093.80
M713	589.10
M699	885.70
M704	886.10
M700	886.40
M703	886.70
M719	886.90
M743	287.10
M698	887.50
M744	288.20
M712	888.80
M718	889.50
M701	889.90
M697	949.30
M711	949.70
M708	950.10
M694	950.50
M750	358.30
M746	567.50
M745	568.00
M740	599.10
M739	599.60
M756	716.30
M742	716.50
M736	717.10
M741	717.70
M738	718.10
M782	118.30
M737	718.80
M783	119.00
M735	719.60
M778	377.10
M780	377.40
M781	378.00
M733	1029.00
M773	657.10
M771	657.80
M789	658.40
M788	728.60
M779	729.20
M821	163.40
M784	764.00
M818	564.10
M820	564.70
M814	565.00
M819	565.50
M815	566.10
M816	566.40
M827	656.40
M811	656.80
M833	744.60
M822	887.80
M859	288.40
M807	1002.10
M812	1002.30
M858	402.60
M813	1003.00
M857	403.70
M826	1004.10
M856	404.50
M832	1004.80
M865	405.10
M829	1005.50
M834	1005.70
M817	1006.30
M828	1102.70
M825	1103.00
M809	1103.50
M897	145.40
M849	745.70
M853	746.30
M860	746.80
M847	747.00
M850	747.70
M854	747.90
M852	748.30
M845	1096.80
M903	497.30
M893	497.80
M866	1098.50
M864	1098.90
M855	1099.30
M908	499.60
M867	1100.00
M851	1100.30
M894	500.90
M895	501.10
M870	1101.40
M890	502.00
M871	1102.50
M896	503.10
M898	507.50
M934	93.10
M935	208.70
M887	809.00
M892	821.20
M891	821.90
M886	822.10
M889	822.60
M888	823.30
M909	861.40
M933	262.00
M902	862.50
M932	404.50
M931	513.70
M883	1114.10
M904	1114.60
M930	701.40
M928	701.70
M940	702.40
M946	702.80
M927	703.10
M941	703.60
M973	213.80
M925	814.40
M929	814.80
M926	870.80
M947	871.30
M972	271.80
M971	272.40
M969	561.60
M978	562.30
M968	661.10
M974	661.80
M979	662.10
M1010	182.50
M966	783.20
M960	783.60
M970	784.30
M965	784.90
M964	785.20
M984	785.80
M985	786.10
M1011	192.70
M967	889.20
M961	1086.60
M963	1087.10
M1012	487.70
M1001	855.40
M1049	256.00
M995	977.00
M1017	977.40
M1000	977.70
M1002	978.00
M1007	978.60
M1039	379.00
M1005	979.40
M1006	979.70
M1022	980.30
M1004	980.80
M1008	981.20
M1003	984.10
M1009	984.70
M1047	385.40
M1046	385.80
M1023	986.20
M1048	386.50
M1016	987.20
M1018	987.80
M1054	567.10
M1042	608.80
M1040	609.00
M1061	807.30
M1041	807.50
M1086	208.00
M1060	808.60
M1087	332.90
M1050	933.60
M1043	959.50
M1037	960.10
M1044	960.60
M1036	961.20
M1055	961.50
M1038	962.00
M1035	986.00
M1084	391.40
M1057	991.90
M1085	392.20
M1093	392.70
M1083	635.40
M1092	636.10
M1082	817.20
M1081	817.90
M1088	818.10
M1125	218.40
M1077	818.90
M1124	319.20
M1101	919.50
M1123	319.80
M1095	920.40
M1098	921.00
M1079	921.30
M1080	921.80
M1122	400.90
M1099	1056.40
M1118	496.70
M1120	497.10
M1073	1097.60
M1126	612.40
M1137	796.80
M1119	797.10
M1131	797.40
M1117	797.90
M1162	198.40
M1116	798.80
M1163	270.00
M1136	1108.50
M1161	508.90
M1133	1109.40
M1130	1109.90
M1168	510.50
M1121	1110.70
M1160	511.40
M1129	1111.70
M1108	1144.40
M1114	1145.10
M1153	545.40
M1132	1145.70
M1151	546.10
M1111	1146.80
M1109	1147.40
M1157	547.80
M1207	375.00
M1149	975.50
M1176	976.10
M1154	976.40
M1169	977.10
M1200	377.40
M1175	977.60
M1158	977.90
M1174	978.50
M1171	978.80
M1159	979.50
M1198	380.00
M1155	980.60
M1191	520.10
M1147	1120.30
M1164	1120.90
M1156	1121.40
M1167	1121.80
M1239	114.70
M1201	715.00
M1202	715.30
M1238	154.40
M1197	755.00
M1206	755.20
M1199	755.90
M1194	965.40
M1196	966.10
M1193	966.50
M1213	966.80
M1195	967.30
M1212	967.50
M1244	513.00
M1205	1113.60
M1192	1114.00
M1237	514.50
M1232	514.80
M1187	1115.30
M1208	1115.90
M1240	588.60
M1245	624.80
M1229	625.20
M1276	184.20
M1230	784.70
M1236	785.00
M1251	785.30
M1274	366.60
M1252	967.00
M1233	1058.50
M1234	1058.70
