Contact	BufferOccupancy
64000	14.0475
128000	13.9683
42500	13.8785
106500	14.0340
21000	13.3923
85000	13.9082
63500	14.0475
127500	13.9461
42000	13.9486
106000	14.0541
20500	13.3394
84500	13.9281
63000	14.0475
127000	13.9059
41500	13.9586
105500	14.0541
20000	13.4934
84000	13.9889
62500	13.9757
126500	13.9136
41000	13.9586
105000	14.0541
19500	13.7092
83500	14.0329
62000	13.9183
126000	13.9496
40500	13.9586
104500	14.0307
19000	13.7602
83000	14.0394
61500	13.9538
125500	13.9793
40000	13.7796
104000	13.9759
18500	13.7602
82500	14.0394
61000	14.0279
125000	13.9865
39500	13.6875
103500	13.9648
18000	13.7602
82000	14.0399
60500	14.0637
124500	13.9865
39000	13.7214
103000	13.9978
17500	13.4499
81500	13.9995
60000	14.0637
124000	13.9865
38500	13.8331
102500	14.0292
17000	13.2475
81000	13.9782
59500	14.0637
123500	13.9377
38000	13.8704
102000	14.0350
16500	13.3284
80500	13.9958
59000	14.0231
123000	13.8915
37500	13.8704
101500	14.0350
16000	13.6196
80000	14.0499
58500	14.0167
122500	13.8956
37000	13.8704
101000	14.0350
15500	13.8823
79500	14.0779
58000	14.0738
122000	13.9263
36500	13.7635
100500	13.9623
15000	13.9241
79000	14.0779
57500	14.1748
121500	13.9489
36000	13.5683
100000	13.9306
14500	13.9241
78500	14.0779
57000	14.2228
121000	13.9504
35500	13.5592
99500	13.9431
14000	13.9241
78000	14.0289
56500	14.2295
120500	13.9504
35000	13.6576
99000	13.9830
13500	13.4854
77500	13.9203
56000	14.2295
120000	13.9449
34500	13.7414
98500	14.0035
13000	13.1257
77000	13.8882
55500	14.2295
119500	13.8901
34000	13.7484
98000	14.0035
12500	13.0030
76500	13.9146
55000	14.0536
119000	13.8653
33500	13.7484
97500	14.0035
12000	13.5325
76000	13.9558
54500	13.9949
118500	13.8908
33000	13.7484
97000	13.9820
11500	13.8695
75500	13.9690
54000	13.9959
118000	13.9274
32500	13.5329
96500	13.9222
11000	13.9122
75000	13.9690
53500	14.0613
117500	13.9401
32000	13.4633
96000	13.9042
10500	13.9122
74500	13.9698
53000	14.0929
117000	13.9401
31500	13.5574
95500	13.9327
10000	13.9122
74000	13.9087
52500	14.0929
116500	13.9401
31000	13.6617
95000	13.9674
9500	13.5133
73500	13.9067
52000	14.0929
116000	13.9217
30500	13.7303
94500	13.9814
9000	13.1423
73000	13.9536
51500	14.0333
115500	13.8909
30000	13.7303
94000	13.9814
8500	13.2239
72500	13.9966
136500	13.9909
51000	13.9502
115000	13.8978
29500	13.7303
93500	13.9814
8000	14.2114
72000	14.0304
136000	13.9909
50500	13.9725
114500	13.9287
29000	13.6520
93000	13.9326
7500	14.5252
71500	14.0313
135500	13.9909
50000	14.0340
114000	13.9542
28500	13.5037
92500	13.8605
7000	14.5252
71000	14.0313
135000	13.9740
49500	14.0886
113500	13.9586
28000	13.4865
92000	13.8675
6500	14.5252
70500	14.0196
134500	13.9173
49000	14.0940
113000	13.9586
27500	13.6380
91500	13.9035
6000	13.1743
70000	13.9156
134000	13.9079
48500	14.0940
112500	13.9586
27000	13.7585
91000	13.9429
5500	10.9727
69500	13.8722
133500	13.9285
48000	14.0940
112000	13.9200
26500	13.7937
90500	13.9468
5000	7.8257
69000	13.9138
133000	13.9517
47500	13.9025
111500	13.8978
26000	13.7937
90000	13.9468
4500	4.6258
68500	13.9678
132500	13.9558
47000	13.8614
111000	13.9173
25500	13.7937
89500	13.9429
4000	6.7505
68000	13.9802
132000	13.9558
46500	13.9028
110500	13.9570
25000	13.5137
89000	13.9174
3500	0
67500	13.9802
131500	13.9558
46000	13.9812
110000	13.9784
24500	13.2880
88500	13.9047
3000	0
67000	13.9802
131000	13.9080
45500	14.0245
109500	13.9790
24000	13.3437
88000	13.9365
2500	0
66500	13.9425
130500	13.8986
45000	14.0245
109000	13.9790
23500	13.5125
87500	13.9765
2000	0
66000	13.9032
130000	13.9161
44500	14.0245
108500	13.9790
23000	13.6146
87000	14.0066
1500	0
65500	13.9271
129500	13.9498
44000	13.9134
108000	13.9517
22500	13.6154
86500	14.0066
1000	0
65000	14.0004
129000	13.9683
43500	13.7786
107500	13.9718
22000	13.6154
86000	14.0066
500	0
64500	14.0444
128500	13.9683
43000	13.7846
107000	13.9995
21500	13.6091
85500	13.9741

