Message ID 	 Delay
M23	220.80
M22	294.70
M21	295.20
M18	295.50
M20	402.70
M24	567.40
M28	722.40
M29	722.80
M15	723.40
M19	723.90
M17	724.40
M34	724.70
M16	725.30
M13	751.00
M30	978.70
M9	978.90
M14	979.60
M35	980.20
M27	1022.10
M11	1022.30
M60	142.50
M61	284.30
M59	379.90
M56	380.10
M67	380.30
M58	380.90
M66	400.20
M51	475.40
M62	600.20
M72	918.10
M65	918.70
M48	918.90
M53	919.20
M54	919.40
M55	919.90
M73	920.10
M57	1063.20
M47	1063.60
M44	1064.30
M74	1064.90
M75	1065.40
M69	1144.60
M68	1145.20
M52	1145.80
M99	266.30
M97	316.10
M94	316.30
M105	316.50
M98	316.70
M93	536.30
M96	536.70
M89	623.70
M100	654.60
M110	777.90
M111	778.30
M92	778.60
M91	779.20
M87	1065.90
M85	1066.40
M103	1066.90
M106	1067.10
M86	1067.30
M112	1067.90
M88	1068.20
M137	182.60
M135	197.70
M142	462.40
M132	463.00
M134	463.60
M143	464.00
M136	464.20
M138	675.00
M133	712.50
M149	712.80
M148	713.20
M129	713.50
M128	714.00
M130	714.30
M131	715.00
M127	792.50
M125	793.20
M123	1063.70
M144	1064.30
M145	1064.60
M181	337.70
M173	338.10
M174	338.60
M175	345.30
M180	588.60
M172	589.30
M176	717.90
M165	718.60
M166	808.20
M168	808.60
M170	808.90
M186	809.50
M187	809.90
M167	810.10
M171	810.50
M169	937.90
M164	938.10
M179	938.30
M163	938.60
M162	938.80
M213	464.50
M203	504.30
M207	676.70
M219	677.00
M211	677.40
M206	678.00
M218	678.60
M209	679.00
M210	679.50
M212	680.10
M208	680.40
M214	720.30
M204	886.80
M224	887.10
M225	887.60
M205	887.80
M221	888.30
M220	888.80
M227	889.20
M199	889.60
M217	1092.20
M200	1092.50
M201	1093.10
M250	116.50
M251	117.20
M246	377.20
M248	377.60
M249	378.00
M241	657.30
M245	657.90
M257	658.20
M239	658.40
M247	728.50
M256	728.70
M252	763.10
M289	145.30
M288	496.90
M284	497.30
M286	497.60
M287	498.30
M295	498.80
M285	499.50
M282	500.10
M290	508.10
M279	808.50
M280	821.00
M278	821.60
M281	822.30
M300	822.90
M283	823.50
M277	824.20
M294	861.50
M301	862.10
M296	1113.80
M275	1114.20
M326	182.30
M327	192.40
M328	486.20
M317	855.10
M338	977.40
M333	977.90
M324	978.60
M311	979.00
M322	979.60
M321	980.10
M318	980.40
M320	981.00
M323	981.20
M316	981.80
M315	982.30
M334	984.20
M332	984.70
M313	985.40
M319	985.90
M325	986.60
M339	987.10
M365	216.80
M364	318.80
M363	319.50
M362	400.50
M358	496.70
M360	497.20
M371	497.80
M359	498.20
M366	612.40
M356	796.90
M377	797.20
M357	797.50
M352	1108.40
M369	1109.00
M370	1109.50
M372	1109.80
M361	1110.10
M373	1110.70
M379	1111.20
M376	1111.80
M355	1144.40
M354	1144.70
M351	1145.40
M353	1145.70
M349	1146.10
M348	1146.40
M403	114.20
M402	154.40
M409	513.10
M401	513.80
M399	514.00
M396	514.60
M398	515.30
M408	515.80
M400	516.30
M404	588.80
M397	625.00
M393	625.60
M415	783.90
M394	784.30
M395	785.00
M391	905.50
M416	966.60
M389	1122.50
M417	1122.70
M414	1123.30
M411	1123.60
M387	1124.10
M410	1124.50
M386	1125.20
M440	117.70
M439	298.50
M441	522.90
M431	523.50
M436	587.50
M438	587.80
M432	588.10
M433	588.60
M434	589.00
M447	589.70
M446	589.90
M435	590.40
M452	591.10
M442	667.90
M453	900.90
M437	901.50
M478	68.40
M479	159.40
M473	587.10
M477	587.60
M485	587.90
M475	588.50
M474	588.90
M476	589.50
M484	589.80
M480	644.90
M470	669.40
M469	669.70
M471	779.30
M472	779.60
M490	780.20
M491	780.80
M467	929.30
M466	929.80
M483	930.20
M516	126.40
M517	390.20
M515	399.40
M514	400.40
M523	401.00
M512	401.30
M507	712.70
M518	712.90
M508	724.80
M528	728.10
M510	728.70
M509	729.30
M522	729.60
M513	798.10
M511	825.70
M524	1081.90
M500	1082.30
M531	1082.80
M501	1083.30
M529	1084.00
M503	1084.70
M504	1085.20
M555	246.40
M554	404.00
M553	404.30
M552	406.90
M561	407.40
M550	407.80
M549	542.30
M551	558.70
M548	563.60
M556	696.90
M566	808.10
M560	808.40
M547	808.60
M567	809.30
M543	982.40
M544	982.70
M559	983.30
M545	983.70
M593	124.20
M592	199.40
M599	522.50
M591	523.00
M587	523.50
M588	523.70
M590	524.00
M583	696.10
M594	696.80
M581	697.20
M584	697.70
M580	698.10
M579	1009.80
M600	1010.00
M601	1010.30
M585	1011.00
M589	1011.60
M605	1011.80
M604	1012.30
M598	1012.90
M586	1013.60
M577	1132.30
M597	1132.70
M576	1133.20
M582	1133.80
M630	106.10
M631	291.20
M626	386.10
M628	386.80
M629	387.10
M637	387.70
M632	491.40
M625	604.70
M624	660.90
M642	661.20
M622	661.40
M621	790.20
M619	858.00
M618	1099.30
M635	1099.50
M668	213.80
M664	317.70
M667	318.10
M659	447.20
M669	447.60
M666	593.60
M674	594.10
M665	594.70
M660	814.70
M681	815.40
M661	816.00
M675	816.70
M662	817.30
M670	829.70
M656	998.60
M683	999.10
M680	999.60
M663	1000.30
M658	1014.40
M657	1021.50
M706	193.60
M705	241.40
M707	342.10
M704	395.90
M702	396.40
M713	396.80
M708	493.10
M697	610.60
M701	611.00
M719	944.90
M699	945.60
M698	946.00
M712	946.60
M700	946.90
M703	947.20
M695	1144.70
M711	1145.10
M714	1157.80
M691	1158.30
M693	1159.00
M718	1159.70
M690	1159.90
M715	1160.60
M694	1161.00
M721	1161.20
M745	103.10
M744	127.60
M743	618.20
M738	618.60
M750	619.20
M742	619.40
M735	775.70
M736	776.30
M733	776.60
M739	777.10
M751	777.40
M740	778.10
M746	778.70
M749	779.30
M757	788.40
M737	788.90
M783	196.00
M782	209.50
M781	249.90
