Contact	DroppedMessage
64000	61269
128000	127856
42500	38527
106500	104486
21000	16062
85000	80832
63500	61269
127500	124672
42000	38522
106000	104485
20500	15785
84500	80660
63000	58257
127000	124255
41500	38522
105500	104485
20000	15719
84000	80638
62500	57770
126500	124094
41000	38522
105000	104485
19500	15712
83500	80635
62000	57474
126000	124081
40500	37180
104500	101350
19000	15712
83000	80635
61500	57334
125500	124079
40000	34865
104000	100885
18500	15712
82500	80635
61000	57321
125000	124079
39500	34527
103500	100638
18000	15712
82000	77740
60500	57320
124500	124079
39000	34411
103000	100575
17500	12434
81500	77249
60000	57320
124000	124079
38500	34404
102500	100574
17000	12049
81000	76903
59500	57320
123500	120652
38000	34404
102000	100574
16500	11873
80500	76748
59000	54516
123000	120268
37500	34404
101500	100574
16000	11839
80000	76734
58500	54075
122500	119965
37000	34404
101000	98922
15500	11827
79500	76730
58000	53877
122000	119934
36500	31102
100500	97061
15000	11827
79000	76730
57500	53712
121500	119934
36000	30799
100000	96784
14500	11827
78500	76730
57000	53711
121000	119934
35500	30590
99500	96656
14000	11827
78000	73381
56500	53711
120500	119934
35000	30556
99000	96644
13500	8389
77500	73037
56000	53711
120000	117034
34500	30547
98500	96644
13000	7872
77000	72801
55500	50722
119500	116421
34000	30547
98000	96644
12500	7714
76500	72733
55000	50267
119000	116139
33500	30547
97500	96644
12000	7673
76000	72730
54500	49973
118500	115984
33000	27717
97000	93696
11500	7673
75500	72729
54000	49813
118000	115977
32500	27306
96500	93314
11000	7673
75000	72729
53500	49785
117500	115977
32000	27067
96000	93022
10500	7673
74500	69823
53000	49784
117000	115977
31500	26920
95500	92950
10000	7673
74000	69355
52500	49784
116500	115977
31000	26918
95000	92947
9500	4277
73500	68982
52000	49784
116000	112714
30500	26917
94500	92946
9000	3896
73000	68806
51500	46879
115500	112346
30000	26917
94000	92946
8500	3788
72500	68787
136500	135869
51000	46528
115000	112198
29500	26917
93500	92946
8000	3770
72000	68785
136000	135869
50500	46333
114500	112170
29000	23818
93000	89480
7500	3770
71500	68785
135500	135869
50000	46312
114000	112170
28500	23434
92500	89082
7000	3770
71000	68785
135000	132732
49500	46308
113500	112170
28000	23255
92000	88871
6500	3770
70500	65885
134500	132251
49000	46308
113000	112170
27500	23216
91500	88797
6000	631
70000	65448
134000	132034
48500	46308
112500	112170
27000	23205
91000	88792
5500	262
69500	65178
133500	131975
48000	43299
112000	109017
26500	23204
90500	88792
5000	47
69000	65124
133000	131974
47500	42887
111500	108596
26000	23204
90000	88792
4500	6
68500	65120
132500	131974
47000	42585
111000	108453
25500	23204
89500	85673
4000	0
68000	65120
132000	131974
46500	42464
110500	108423
25000	19618
89000	84985
3500	0
67500	65120
131500	128850
46000	42458
110000	108422
24500	19265
88500	84717
3000	0
67000	65120
131000	128394
45500	42457
109500	108422
24000	19140
88000	84663
2500	0
66500	62012
130500	128041
45000	42457
109000	108422
23500	19125
87500	84656
2000	0
66000	61592
130000	127864
44500	42457
108500	108328
23000	19125
87000	84656
1500	0
65500	61362
129500	127856
44000	39184
108000	105148
22500	19125
86500	84656
1000	0
65000	61271
129000	127856
43500	38780
107500	104625
22000	19125
86000	84656
500	0
64500	61269
128500	127856
43000	38566
107000	104497
21500	16491
85500	81246

