Contact	Latencies
64000	729.0876
128000	729.7118
42500	737.1683
106500	738.9205
21000	704.2818
85000	724.0876
63500	729.0876
127500	729.7118
42000	743.0214
106000	740.0612
20500	695.7967
84500	724.6857
63000	729.0876
127000	727.8753
41500	743.0214
105500	740.0612
20000	698.2250
84000	728.2774
62500	715.9735
126500	729.5262
41000	743.0214
105000	740.0612
19500	715.2869
83500	729.7002
62000	716.2747
126000	729.5262
40500	743.0214
104500	733.7791
19000	715.2869
83000	729.7002
61500	719.4169
125500	731.0227
40000	715.1521
104000	732.3582
18500	715.2869
82500	729.7002
61000	721.1163
125000	731.0227
39500	713.8497
103500	733.4806
18000	715.2869
82000	726.5761
60500	723.0734
124500	731.0227
39000	719.1049
103000	735.7996
17500	702.3642
81500	724.0504
60000	723.0734
124000	731.0227
38500	728.1094
102500	736.8516
17000	700.0734
81000	721.3228
59500	723.0734
123500	731.0227
38000	728.1094
102000	736.8516
16500	699.0915
80500	722.6788
59000	723.0734
123000	730.8117
37500	728.1094
101500	736.8516
16000	716.9439
80000	724.9365
58500	718.4205
122500	731.7120
37000	728.1094
101000	736.8516
15500	733.4063
79500	727.5089
58000	720.1686
122000	735.1834
36500	728.1094
100500	727.9337
15000	733.4063
79000	727.5089
57500	725.6215
121500	735.1834
36000	700.6877
100000	727.9064
14500	733.4063
78500	727.5089
57000	727.2913
121000	735.1834
35500	700.6877
99500	727.9064
14000	733.4063
78000	727.5089
56500	727.2913
120500	735.1834
35000	702.0199
99000	728.7655
13500	692.4263
77500	727.5089
56000	727.2913
120000	735.1834
34500	708.4937
98500	728.7655
13000	685.9302
77000	727.2875
55500	727.2913
119500	731.9874
34000	708.4937
98000	728.7655
12500	693.9388
76500	727.2875
55000	718.3871
119000	731.7796
33500	708.4937
97500	728.7655
12000	737.9795
76000	727.2875
54500	717.5590
118500	735.0401
33000	708.4937
97000	728.7655
11500	737.9795
75500	730.4256
54000	717.5590
118000	736.7288
32500	703.3280
96500	725.8990
11000	737.9795
75000	730.4256
53500	723.5571
117500	736.7288
32000	695.6412
96000	725.6969
10500	737.9795
74500	721.4359
53000	725.8106
117000	736.7288
31500	706.8450
95500	728.2917
10000	737.9795
74000	715.5655
52500	725.8106
116500	736.7288
31000	706.8450
95000	730.2472
9500	595.8552
73500	715.5655
52000	725.8106
116000	734.6558
30500	710.8849
94500	731.4720
9000	595.8552
73000	716.7299
51500	725.8106
115500	733.4921
30000	710.8849
94000	731.4720
8500	600.1556
72500	720.3695
136500	729.3969
51000	723.2556
115000	734.2592
29500	710.8849
93500	731.4720
8000	666.5952
72000	723.1249
136000	729.3969
50500	727.1262
114500	735.3469
29000	710.8849
93000	729.4617
7500	692.8000
71500	723.1249
135500	729.3969
50000	727.1262
114000	735.3469
28500	710.8849
92500	729.4617
7000	692.8000
71000	723.1249
135000	724.5166
49500	732.1118
113500	735.3469
28000	711.8250
92000	729.7480
6500	692.8000
70500	723.1249
134500	723.1684
49000	732.1118
113000	735.3469
27500	719.5977
91500	731.9648
6000	656.2000
70000	718.4042
134000	723.5291
48500	732.1118
112500	735.3469
27000	719.5977
91000	734.2901
5500	563.8714
69500	716.7062
133500	725.9711
48000	732.1118
112000	734.4615
26500	729.0898
90500	734.2901
5000	301.7800
69000	719.3106
133000	726.8167
47500	732.1118
111500	734.3164
26000	729.0898
90000	734.2901
4500	276.5500
68500	723.1029
132500	726.8167
47000	730.7258
111000	735.1565
25500	729.0898
89500	734.2901
4000	NaN
68000	723.1029
132000	726.8167
46500	738.2789
110500	738.3321
25000	720.2952
89000	732.6875
3500	NaN
67500	723.1029
131500	726.8167
46000	740.1827
110000	739.2484
24500	708.6183
88500	732.0086
3000	NaN
67000	723.1029
131000	725.8370
45500	742.8891
109500	739.2484
24000	713.1438
88000	732.5212
2500	NaN
66500	720.9087
130500	725.8370
45000	742.8891
109000	739.2484
23500	715.5346
87500	733.5244
2000	NaN
66000	720.3035
130000	727.0629
44500	742.8891
108500	739.2484
23000	715.5346
87000	733.5244
1500	NaN
65500	721.1730
129500	729.7118
44000	730.9354
108000	736.3950
22500	715.5346
86500	733.5244
1000	NaN
65000	727.2054
129000	729.7118
43500	728.3179
107500	735.3770
22000	715.5346
86000	733.5244
500	NaN
64500	729.0876
128500	729.7118
43000	729.9251
107000	737.3785
21500	715.5346
85500	729.3536

