Contact	NrofDelivered
64000	330
128000	659
42500	208
106500	547
21000	99
85000	437
63500	330
127500	659
42000	206
106000	546
20500	90
84500	435
63000	330
127000	653
41500	206
105500	546
20000	88
84000	430
62500	317
126500	644
41000	206
105000	546
19500	84
83500	429
62000	312
126000	644
40500	206
104500	537
19000	84
83000	429
61500	307
125500	642
40000	192
104000	531
18500	84
82500	429
61000	306
125000	642
39500	189
103500	526
18000	84
82000	426
60500	305
124500	642
39000	184
103000	522
17500	81
81500	421
60000	305
124000	642
38500	180
102500	521
17000	79
81000	413
59500	305
123500	642
38000	180
102000	521
16500	71
80500	410
59000	305
123000	641
37500	180
101500	521
16000	66
80000	408
58500	297
122500	633
37000	180
101000	521
15500	64
79500	406
58000	293
122000	626
36500	180
100500	504
15000	64
79000	406
57500	288
121500	626
36000	162
100000	499
14500	64
78500	406
57000	287
121000	626
35500	162
99500	499
14000	64
78000	406
56500	287
120500	626
35000	161
99000	498
13500	57
77500	406
56000	287
120000	626
34500	159
98500	498
13000	53
77000	392
55500	287
119500	620
34000	159
98000	498
12500	49
76500	392
55000	280
119000	618
33500	159
97500	498
12000	44
76000	392
54500	271
118500	606
33000	159
97000	498
11500	44
75500	390
54000	271
118000	604
32500	157
96500	493
11000	44
75000	390
53500	266
117500	604
32000	148
96000	490
10500	44
74500	382
53000	265
117000	604
31500	140
95500	481
10000	44
74000	374
52500	265
116500	604
31000	140
95000	479
9500	29
73500	374
52000	265
116000	600
30500	139
94500	478
9000	29
73000	371
51500	265
115500	595
30000	139
94000	478
8500	27
72500	367
136500	702
51000	261
115000	586
29500	139
93500	478
8000	21
72000	365
136000	702
50500	248
114500	584
29000	139
93000	475
7500	20
71500	365
135500	702
50000	248
114000	584
28500	139
92500	475
7000	20
71000	365
135000	693
49500	246
113500	584
28000	132
92000	473
6500	20
70500	365
134500	686
49000	246
113000	584
27500	129
91500	469
6000	18
70000	359
134000	683
48500	246
112500	584
27000	129
91000	467
5500	14
69500	353
133500	678
48000	246
112000	582
26500	127
90500	467
5000	5
69000	348
133000	677
47500	246
111500	578
26000	127
90000	467
4500	4
68500	345
132500	677
47000	244
111000	572
25500	127
89500	467
4000	0
68000	345
132000	677
46500	232
110500	567
25000	124
89000	464
3500	0
67500	345
131500	677
46000	231
110000	566
24500	115
88500	453
3000	0
67000	345
131000	675
45500	230
109500	566
24000	105
88000	452
2500	0
66500	343
130500	675
45000	230
109000	566
23500	104
87500	451
2000	0
66000	341
130000	663
44500	230
108500	566
23000	104
87000	451
1500	0
65500	337
129500	659
44000	223
108000	560
22500	104
86500	451
1000	0
65000	331
129000	659
43500	218
107500	556
22000	104
86000	451
500	0
64500	330
128500	659
43000	215
107000	549
21500	104
85500	446

